image,golden_value,average_difference,sdc_percentage
20,-2.93503815429,-2.81786292936,0.0,
40,-8.03055564305,-7.88200078738,0.0,
60,-7.07067885003,-6.99054100889,0.0,
80,-5.82732914277,-5.66950547279,0.0,
