image,golden_value,average_difference,sdc_percentage
20,-2.93503815429,-3.00958271936,1.0,
40,-8.03055564305,-8.08307452999,0.0,
60,-7.07067885003,-7.09747252955,0.0,
80,-5.82732914277,-5.836101953,0.0,
overall average SDC = 0.25
