image,golden_value,average_difference,sdc_percentage
20,-2.93503815429,-7804.21135684,17
40,-8.03055564305,5564.66213246,17
60,-7.07067885003,-1829.09274417,8
80,-5.82732914277,45775.9411691,14
,,,14
