image,golden_value,error_0,error_1,error_2,error_3,error_4,error_5,error_6,error_7,error_8,error_9,error_10,error_11,error_12,error_13,error_14,error_15,error_16,error_17,error_18,error_19,error_20,error_21,error_22,error_23,error_24,error_25,error_26,error_27,error_28,error_29,error_30,error_31,error_32,error_33,error_34,error_35,error_36,error_37,error_38,error_39,error_40,error_41,error_42,error_43,error_44,error_45,error_46,error_47,error_48,error_49,error_50,error_51,error_52,error_53,error_54,error_55,error_56,error_57,error_58,error_59,error_60,error_61,error_62,error_63,error_64,error_65,error_66,error_67,error_68,error_69,error_70,error_71,error_72,error_73,error_74,error_75,error_76,error_77,error_78,error_79,error_80,error_81,error_82,error_83,error_84,error_85,error_86,error_87,error_88,error_89,error_90,error_91,error_92,error_93,error_94,error_95,error_96,error_97,error_98,error_99
20,-2.93503815429,0.0,3.66,11.49,3.34,0.22,10.95,0.0,0.0,0.0,0.14,0.0,0.0,19.56,0.0,0.0,15.16,0.0,0.0,3.38,0.05,0.0,0.0,6.74,0.44,0.0,77.15,5.92,1.9,11.83,0.0,0.0,0.0,0.0,0.0,4.97,0.0,0.0,23.64,0.0,0.0,3.28,0.0,0.0,91.6,0.0,0.0,43.96,0.0,0.0,0.0,115.98,10.05,0.0,0.0,5.51,15.57,0.0,0.0,0.0,0.0,26.84,0.0,86.42,22.93,0.05,37.43,16.96,0.0,0.0,0.0,0.0,67.04,10.64,0.0,0.0,0.0,0.0,0.35,8.9,0.0,0.0,15.26,0.0,0.0,0.0,0.0,0.52,0.0,0.0,0.0,0.0,12.46,2.36,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
40,-8.03055564305,0.01,21.34,35.81,8.19,108.23,0.29,21.3,66.7,0.01,0.01,4.75,6.81,0.01,12.62,0.01,0.01,0.01,1.66,0.01,0.01,0.01,0.01,0.01,0.01,0.01,2.23,14.02,25.27,0.01,13.01,13.48,0.01,24.4,0.01,76.64,0.01,0.01,89.37,0.01,8.47,0.02,100.91,110.77,7.53,0.01,0.01,0.01,0.01,19.3,0.01,1.42,0.01,0.17,0.01,20.79,0.01,0.01,6.14,0.01,0.01,24.93,51.19,58.87,0.01,0.01,0.01,0.01,0.02,0.01,0.01,22.13,23.19,0.01,28.14,8.61,6.63,0.06,0.01,0.01,0.01,0.01,0.01,0.53,0.01,75.45,0.01,5.94,15.33,0.01,4.08,20.48,0.01,67.44,1.96,0.01,7.32,0.01,48.33,0.01,14.72,
60,-7.07067885003,0.01,12.24,0.01,0.02,111.21,0.01,0.01,0.01,28.64,0.01,0.01,0.01,28.4,0.01,0.01,0.01,0.01,36.71,0.01,0.01,0.01,0.01,13.09,25.25,0.01,0.01,0.01,8.45,0.01,4.94,0.01,0.01,8.33,0.01,0.01,0.01,0.01,0.01,1.54,0.01,0.01,4.1,0.01,27.03,0.01,0.01,77.5,7.37,0.01,0.24,68.49,0.01,4.82,0.01,0.01,61.74,40.94,0.01,0.01,9.93,0.01,17.06,0.01,0.38,27.23,0.01,0.01,0.01,9.98,0.01,0.68,0.01,0.01,106.74,0.01,0.01,17.47,0.01,0.01,19.52,0.01,0.01,0.01,53.24,6.62,0.01,123.42,0.01,0.01,75.37,0.15,12.32,0.01,0.11,0.01,49.53,0.01,0.01,1.05,6.84,
80,-5.82732914277,0.01,0.01,78.41,13.89,1.55,17.89,63.15,0.01,0.01,0.01,0.01,12.55,0.01,0.67,0.01,0.01,0.01,0.01,0.01,61.06,0.01,25.35,0.01,0.01,0.0,0.01,91.35,0.01,0.01,0.01,0.01,38.4,0.01,0.01,3.9,0.01,0.01,0.01,59.52,20.59,0.01,0.01,0.01,0.01,0.01,0.01,0.01,4.75,0.01,37.43,0.01,0.01,7.53,10.31,0.01,0.01,0.01,11.62,0.01,0.9,0.01,3.4,0.01,0.01,0.01,0.01,0.01,0.01,116.93,0.01,0.01,0.0,32.43,2.97,22.12,14.15,27.03,2.53,0.01,0.01,0.01,0.01,2.96,0.01,0.19,0.01,18.71,0.01,0.01,41.45,0.01,0.01,0.01,1.42,0.01,92.52,0.01,0.01,0.01,0.01,
