image,golden_value,average_difference,sdc_percentage
20,-2.93503815429,-399871.008263,64.0,
40,-8.03055564305,-1058124.69934,45.0,
60,-7.07067885003,-2925979.11069,77.0,
80,-5.82732914277,-2607107.6095,62.0,
overall average SDC = 62.0
