image,golden_value,average_difference,sdc_percentage
20,-2.93503815429,-524013.831164,51
40,-8.03055564305,-29749143.577,37
60,-7.07067885003,-97615433.2156,44
80,-5.82732914277,1408768.567,32
,,,41
