image,golden_value,error_0,error_1,error_2,error_3,error_4,error_5,error_6,error_7,error_8,error_9,error_10,error_11,error_12,error_13,error_14,error_15,error_16,error_17,error_18,error_19,error_20,error_21,error_22,error_23,error_24,error_25,error_26,error_27,error_28,error_29,error_30,error_31,error_32,error_33,error_34,error_35,error_36,error_37,error_38,error_39,error_40,error_41,error_42,error_43,error_44,error_45,error_46,error_47,error_48,error_49,error_50,error_51,error_52,error_53,error_54,error_55,error_56,error_57,error_58,error_59,error_60,error_61,error_62,error_63,error_64,error_65,error_66,error_67,error_68,error_69,error_70,error_71,error_72,error_73,error_74,error_75,error_76,error_77,error_78,error_79,error_80,error_81,error_82,error_83,error_84,error_85,error_86,error_87,error_88,error_89,error_90,error_91,error_92,error_93,error_94,error_95,error_96,error_97,error_98,error_99
20,-2.93503815429,0.0,0.0,0.0,0.0,7586.6,0.0,46824.68,0.0,0.0,0.0,0.0,0.0,0.0,0.0,127982.78,0.03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,36.71,0.0,0.0,1.7,0.0,0.0,0.0,0.0,0.0,0.0,17433.71,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1187029.54,0.0,0.0,5.19,0.0,0.16,0.0,0.0,601.01,0.0,0.0,9.88,0.0,0.0,0.0,0.0,0.0,18019.2,0.0,0.0,0.0,0.12,0.02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,91.81,0.0,0.92,0.0,0.0,0.0,32184.17,0.0,0.0,0.18,0.03,0.0,0.0,0.0,0.0,0.1,1.34,0.0,0.0,3119.83,0.0,0.0,0.0,
40,-8.03055564305,0.01,0.01,0.01,0.01,0.01,0.01,0.01,45997.14,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,20.39,0.01,0.01,0.01,69.54,0.01,0.01,0.01,0.01,0.01,0.01,0.01,44.77,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.24,0.01,0.01,0.01,0.01,0.01,10.74,0.01,0.01,0.01,5.75,0.01,0.01,0.01,0.15,0.01,8.37,0.01,0.01,5963.22,0.01,64.93,0.01,0.01,0.01,9.34,0.01,0.01,0.01,0.12,0.07,0.01,0.01,0.04,0.01,0.01,0.01,737.61,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.02,0.01,1.09,0.01,0.01,2079.73,0.01,0.01,0.01,0.01,523.0,0.01,0.01,1982.09,0.01,
60,-7.07067885003,0.01,0.01,0.01,0.76,0.01,0.58,0.01,0.01,0.01,0.53,0.01,0.4,0.01,0.01,0.01,0.01,2090.36,0.01,0.01,33789.45,0.01,0.01,0.01,0.01,412624.05,0.01,3636251.0,0.01,0.01,0.01,1.04,0.01,137888.01,0.01,0.02,0.01,0.01,4.59,0.01,0.01,0.01,0.63,0.01,0.01,21842.24,0.01,0.01,0.01,0.01,442903.0,0.01,0.01,9.2,0.01,0.01,0.01,0.02,0.01,0.01,0.0,0.01,0.01,0.01,0.01,0.01,0.01,5761.48,0.01,167.24,0.01,0.01,375681.62,0.01,3.32,0.01,0.01,0.01,0.01,8.68,0.01,0.01,946.68,0.01,0.01,0.45,0.08,0.01,0.01,0.01,0.01,0.01,0.01,568773.6,0.01,0.01,166616.6,0.01,7632.7,0.01,0.01,
80,-5.82732914277,0.01,0.01,300074.32,3060.87,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.0,0.01,0.01,0.01,0.01,0.01,0.01,1.72,0.1,0.01,0.01,0.01,0.01,313.72,0.01,0.01,0.01,0.01,3720.38,0.01,0.01,0.01,0.0,0.01,0.01,4697.88,0.01,20304.4,0.01,0.01,1085.11,0.01,0.01,365.92,0.01,243111.92,0.01,0.01,0.02,0.01,0.01,0.01,0.01,80993.8,0.01,1775.21,0.01,656.34,0.01,0.01,95.72,0.01,0.01,0.01,20.72,0.01,0.01,0.01,5109.87,0.01,0.01,185715.6,0.01,0.01,0.01,0.01,0.05,0.01,0.01,0.01,0.01,0.01,0.01,541.59,1396699.45,0.01,0.01,4.75,0.01,0.01,0.01,0.01,14.29,332.44,0.01,0.01,263401.27,
