image,golden_value,error_0,error_1,error_2,error_3,error_4,error_5,error_6,error_7,error_8,error_9,error_10,error_11,error_12,error_13,error_14,error_15,error_16,error_17,error_18,error_19,error_20,error_21,error_22,error_23,error_24,error_25,error_26,error_27,error_28,error_29,error_30,error_31,error_32,error_33,error_34,error_35,error_36,error_37,error_38,error_39,error_40,error_41,error_42,error_43,error_44,error_45,error_46,error_47,error_48,error_49,error_50,error_51,error_52,error_53,error_54,error_55,error_56,error_57,error_58,error_59,error_60,error_61,error_62,error_63,error_64,error_65,error_66,error_67,error_68,error_69,error_70,error_71,error_72,error_73,error_74,error_75,error_76,error_77,error_78,error_79,error_80,error_81,error_82,error_83,error_84,error_85,error_86,error_87,error_88,error_89,error_90,error_91,error_92,error_93,error_94,error_95,error_96,error_97,error_98,error_99
20,-2.93503815429,53.66,4.12,0.0,16.34,23.03,25.81,48.42,28.11,36.66,0.0,6.57,23.01,16.88,14.75,2.97,0.0,0.0,19.37,0.0,30.0,0.0,14.03,11.44,0.34,18.89,19.14,22.68,38.73,4.88,3.26,24.92,53.38,18.56,0.23,13.32,50.43,19.85,58.67,27.46,10.44,55.44,5.48,0.0,28.31,50.14,12.06,0.0,18.21,14.43,13.44,0.0,6.28,17.98,0.08,42.25,11.43,13.19,3.41,1.28,0.0,44.32,10.41,35.37,0.0,3.43,5.46,17.35,17.2,1.31,1.52,7.24,0.0,1.67,50.82,6.94,4.69,55.48,0.41,30.97,0.0,34.16,21.35,29.38,51.12,0.0,0.0,49.24,5.5,0.03,28.13,12.42,2.73,55.68,1.2,0.0,22.45,0.22,43.98,25.0,9.03,
40,-8.03055564305,37.97,25.15,52.46,34.9,8.61,2.21,13.4,18.75,18.43,0.01,30.21,11.94,2.58,30.06,21.04,0.63,15.03,24.52,37.9,22.2,0.01,43.5,17.23,29.99,0.01,6.04,12.7,0.01,32.4,48.84,51.66,41.67,0.01,0.01,0.01,0.01,0.01,3.47,42.42,18.59,3.87,52.56,63.37,20.05,1.65,12.48,19.46,37.34,13.38,22.23,45.38,30.83,59.52,30.72,48.32,22.98,24.71,0.01,32.32,10.92,30.75,0.01,2.26,20.4,2.82,0.01,1.44,0.01,18.28,32.63,9.18,36.59,64.28,3.7,52.25,0.01,34.64,31.9,47.43,3.59,28.73,60.6,15.17,0.01,19.88,12.38,0.23,2.87,0.01,9.62,0.01,17.72,11.38,0.01,0.23,31.94,7.2,19.99,0.01,46.7,
60,-7.07067885003,6.9,36.51,0.01,1.42,18.44,31.05,0.11,0.01,14.13,0.01,9.05,39.38,35.61,0.23,35.47,24.19,26.46,0.35,57.59,19.22,0.89,0.01,7.21,0.52,48.03,8.82,0.46,7.3,0.01,21.1,27.82,0.08,0.01,22.51,5.89,16.47,8.81,62.65,30.49,1.66,2.52,0.01,0.01,7.05,7.68,15.11,10.25,58.47,0.01,9.86,0.01,48.71,20.77,1.49,0.01,22.86,3.79,26.29,44.21,23.97,0.01,30.73,35.12,41.85,24.02,8.02,0.02,20.29,26.52,29.05,13.99,40.18,0.76,23.29,41.4,0.06,1.95,1.81,0.01,16.43,20.12,34.88,39.96,55.82,59.74,7.5,18.6,36.23,7.16,16.45,2.23,16.2,18.72,51.8,36.89,28.38,20.18,6.67,0.55,41.51,
80,-5.82732914277,1.5,31.61,2.25,2.5,52.76,7.61,7.43,0.01,3.01,0.01,9.49,14.04,0.0,15.43,14.57,40.89,0.08,41.09,62.38,2.12,1.29,0.54,42.05,1.13,11.81,20.41,3.28,46.32,62.28,19.73,0.01,34.29,11.51,0.04,25.83,34.23,26.97,0.01,22.09,49.13,0.01,10.27,1.87,25.0,8.5,36.3,36.71,20.5,10.73,4.82,12.54,42.75,5.61,22.34,24.37,12.39,14.58,18.14,12.16,61.79,9.18,0.01,52.72,24.25,36.95,27.48,0.02,58.75,21.76,2.13,17.18,50.19,0.01,0.01,7.69,4.22,0.14,15.8,1.36,17.14,27.91,24.93,16.65,62.2,0.0,11.08,26.95,6.15,30.66,8.95,26.46,26.92,51.11,50.51,42.55,4.32,6.47,1.39,27.16,0.0,
