image,golden_value,average_difference,sdc_percentage
20,-2.93503815429,183.903016416,32
40,-8.03055564305,10835.3224013,26
60,-7.07067885003,1608.67924356,33
80,-5.82732914277,-4509.79120249,30
,,,30.25
