image,golden_value,average_difference,sdc_percentage
20,-2.93503815429,-28181.5579508,49
40,-8.03055564305,-7563859.56816,51
60,-7.07067885003,-3672791.24659,50
80,-5.82732914277,332052.807328,53
,,,50.75
