image,golden_value,average_difference,sdc_percentage
20,-2.93503815429,-437.697300642,23
40,-8.03055564305,-2041.37141742,17
60,-7.07067885003,664.892982749,23
80,-5.82732914277,50883.4039793,16
,,,19.75
