image,golden_value,average_difference,sdc_percentage
20,-2.93503815429,5075.22302235,30
40,-8.03055564305,-4089.73218839,25
60,-7.07067885003,-1363.51464265,23
80,-5.82732914277,-5677.69631944,31
,,,27.25
