image,golden_value,error_0,error_1,error_2,error_3,error_4,error_5,error_6,error_7,error_8,error_9,error_10,error_11,error_12,error_13,error_14,error_15,error_16,error_17,error_18,error_19,error_20,error_21,error_22,error_23,error_24,error_25,error_26,error_27,error_28,error_29,error_30,error_31,error_32,error_33,error_34,error_35,error_36,error_37,error_38,error_39,error_40,error_41,error_42,error_43,error_44,error_45,error_46,error_47,error_48,error_49,error_50,error_51,error_52,error_53,error_54,error_55,error_56,error_57,error_58,error_59,error_60,error_61,error_62,error_63,error_64,error_65,error_66,error_67,error_68,error_69,error_70,error_71,error_72,error_73,error_74,error_75,error_76,error_77,error_78,error_79,error_80,error_81,error_82,error_83,error_84,error_85,error_86,error_87,error_88,error_89,error_90,error_91,error_92,error_93,error_94,error_95,error_96,error_97,error_98,error_99
20,-2.93503815429,53.66,4.12,10.28,30.09,7.74,42.48,34.61,36.66,21.55,2.69,1.35,12.66,34.81,28.82,28.38,56.38,33.46,25.09,59.61,6.73,0.0,1.4,35.68,36.01,1.41,0.0,59.3,51.85,50.92,31.64,20.36,7.32,4.47,8.53,31.49,54.17,5.48,11.96,18.51,3.13,20.45,11.41,2.11,45.55,7.42,8.09,1.05,12.59,2.28,4.68,0.26,28.08,0.0,39.99,1.41,7.58,33.17,52.8,17.35,17.2,2.15,56.55,7.5,31.64,23.55,0.23,1.04,12.65,0.0,3.83,36.14,34.16,21.35,5.05,0.0,39.09,38.71,47.96,36.95,0.27,31.92,2.51,6.82,48.17,13.61,58.77,0.0,11.96,26.03,37.25,32.88,31.48,47.36,18.14,3.51,38.32,14.46,45.19,43.35,3.99,
40,-8.03055564305,26.39,2.58,30.06,20.18,0.01,21.54,4.37,19.12,0.81,42.28,58.06,19.48,22.51,50.67,12.65,51.31,51.18,1.05,11.2,1.17,0.14,16.69,63.42,1.3,0.01,53.81,35.15,54.37,13.78,30.89,18.97,24.41,13.02,37.34,13.38,64.46,19.47,51.13,8.05,36.08,5.79,33.51,0.01,40.41,1.69,9.2,11.39,0.01,53.56,7.83,26.18,5.17,23.68,16.48,19.4,7.52,6.23,4.95,33.33,31.88,30.27,36.29,0.01,20.87,8.44,14.9,43.08,15.31,8.03,9.68,11.93,3.79,27.4,23.03,23.41,27.52,3.29,14.65,6.86,46.7,8.15,1.94,14.8,3.36,32.01,22.73,0.01,0.01,33.06,34.98,33.26,5.49,37.14,11.86,63.71,58.55,25.0,22.39,46.16,41.69,
60,-7.07067885003,26.99,49.76,6.83,56.02,1.55,21.1,27.82,3.59,15.71,27.98,13.81,38.67,1.09,59.9,24.99,43.87,0.01,2.03,3.59,0.01,42.72,20.38,18.92,2.13,30.0,49.73,0.14,0.01,17.08,26.97,18.61,6.08,37.6,10.85,7.52,14.95,63.39,38.03,3.52,42.72,9.7,59.89,0.01,17.99,0.01,34.3,25.2,10.01,12.24,0.01,53.8,0.01,42.29,22.29,28.39,4.7,18.6,1.25,7.77,34.76,30.54,20.33,9.59,48.87,25.34,15.74,7.6,15.53,44.79,15.87,21.96,2.22,2.45,54.0,2.67,14.65,40.43,42.73,43.81,9.54,57.53,45.08,46.67,12.56,1.59,34.54,7.8,34.22,4.25,0.54,33.8,1.31,25.38,3.22,4.12,57.37,27.39,3.68,5.57,37.31,
80,-5.82732914277,28.32,10.72,7.07,14.46,55.75,38.44,0.84,52.1,33.66,0.28,20.65,49.92,17.99,10.73,24.53,6.36,34.1,27.84,46.15,25.33,24.38,16.59,42.91,20.97,18.43,52.72,34.69,10.05,3.8,0.01,6.85,20.71,2.13,17.18,50.19,52.78,17.49,42.14,24.16,29.47,38.61,59.65,16.16,5.42,1.11,62.2,17.61,45.29,30.87,57.98,57.42,10.44,7.69,15.18,0.36,0.01,53.44,6.47,1.39,7.38,31.56,9.99,23.28,23.13,30.81,19.15,59.42,8.35,15.07,59.11,23.73,47.06,0.55,9.82,4.42,24.42,36.65,0.57,2.79,27.76,8.47,1.13,59.74,8.16,0.11,4.11,61.36,9.52,28.06,14.86,15.99,43.27,1.12,49.28,0.1,7.27,12.17,2.8,27.67,11.24,
