image,golden_value,average_difference,sdc_percentage
20,-2.93503815429,-11639614594.5,85
40,-8.03055564305,36366332.7441,84
60,-7.07067885003,-15350322.2747,91
80,-5.82732914277,487138602.61,90
,,,87.5
