image,golden_value,average_difference,sdc_percentage
20,-2.93503815429,-3.01356169729,1.0,
40,-8.03055564305,-8.03142197571,0.0,
60,-7.07067885003,-7.11968257157,0.0,
80,-5.82732914277,-5.8204771226,0.0,
overall average SDC = 0.25
