image,golden_value,error_0,error_1,error_2,error_3,error_4,error_5,error_6,error_7,error_8,error_9,error_10,error_11,error_12,error_13,error_14,error_15,error_16,error_17,error_18,error_19,error_20,error_21,error_22,error_23,error_24,error_25,error_26,error_27,error_28,error_29,error_30,error_31,error_32,error_33,error_34,error_35,error_36,error_37,error_38,error_39,error_40,error_41,error_42,error_43,error_44,error_45,error_46,error_47,error_48,error_49,error_50,error_51,error_52,error_53,error_54,error_55,error_56,error_57,error_58,error_59,error_60,error_61,error_62,error_63,error_64,error_65,error_66,error_67,error_68,error_69,error_70,error_71,error_72,error_73,error_74,error_75,error_76,error_77,error_78,error_79,error_80,error_81,error_82,error_83,error_84,error_85,error_86,error_87,error_88,error_89,error_90,error_91,error_92,error_93,error_94,error_95,error_96,error_97,error_98,error_99
20,-2.93503815429,1.17,11.83,20.64,38.61,0.15,16.62,27.74,9.77,12.38,10.96,10.61,1.58,2.31,2.67,8.32,29.45,4.36,23.43,6.17,15.8,10.21,8.15,0.0,0.0,2.35,28.68,13.35,4.45,15.46,10.01,0.69,15.96,4.02,8.56,0.02,8.39,5.28,29.95,25.91,5.07,1.74,7.35,7.58,21.72,16.48,17.43,21.45,23.89,8.08,2.3,21.29,5.94,0.02,19.56,8.24,19.91,30.79,21.28,5.75,8.05,15.08,6.13,7.62,0.42,3.9,16.02,11.89,0.35,20.45,27.52,0.0,0.62,3.3,7.18,0.2,10.71,5.2,3.91,37.59,0.81,13.54,0.0,7.22,3.73,4.04,24.63,0.9,2.29,0.33,23.08,0.0,1.33,0.07,0.4,5.49,0.21,0.58,0.2,0.0,34.26,
40,-8.03055564305,0.01,19.42,13.85,1.59,31.81,6.55,1.69,5.65,0.78,16.26,7.36,0.94,12.17,6.07,1.58,7.85,0.69,5.99,3.61,4.9,23.47,0.15,2.19,5.45,9.41,6.51,8.36,0.01,6.38,0.17,31.25,5.02,20.25,0.01,1.59,0.01,8.8,29.69,5.52,0.01,4.65,21.91,40.71,6.27,1.21,21.46,1.75,11.2,9.96,3.76,0.2,9.9,11.78,0.27,10.14,9.49,0.46,4.14,0.01,7.61,37.4,2.27,0.74,0.29,0.01,4.11,0.63,11.27,9.13,0.71,8.06,5.31,28.19,3.65,0.39,12.75,14.47,6.91,1.77,2.27,21.4,11.26,14.26,12.1,7.39,6.7,0.48,7.17,0.0,0.01,22.03,5.63,4.23,13.16,13.51,10.42,9.6,5.86,5.61,8.71,
60,-7.07067885003,8.1,21.2,7.1,0.0,0.77,0.04,1.96,5.81,6.12,13.86,17.25,7.88,13.28,0.01,16.82,7.52,2.9,0.03,3.75,26.55,15.9,3.14,4.29,15.36,8.91,0.27,0.01,36.63,3.16,18.81,13.52,16.88,2.94,0.01,0.03,7.38,26.12,0.0,22.28,1.59,10.29,2.0,14.94,18.73,11.99,1.91,0.59,12.5,12.32,4.68,2.95,0.53,0.67,31.21,4.91,15.97,12.26,0.48,23.37,1.56,23.63,3.04,28.08,1.71,8.64,0.01,20.89,1.29,33.31,13.34,15.68,0.01,0.32,1.68,0.68,2.71,0.54,1.26,3.64,0.02,14.99,0.01,5.08,9.84,11.89,11.59,1.85,5.67,9.23,14.8,4.79,10.31,17.7,11.33,0.05,10.32,6.63,8.01,1.35,7.34,
80,-5.82732914277,0.01,11.37,5.83,16.46,8.68,2.84,9.77,7.02,11.03,20.64,0.01,5.26,13.47,1.51,0.01,3.01,11.44,5.74,16.61,21.5,2.39,8.2,12.49,23.09,0.21,12.8,10.45,3.94,10.16,1.77,8.76,3.93,8.12,6.06,5.0,21.63,5.43,2.93,4.36,0.08,4.0,1.61,13.58,18.84,1.79,15.19,0.98,18.77,8.56,2.32,9.71,7.46,0.74,8.47,11.87,0.74,2.63,3.47,10.13,18.08,12.34,29.69,37.16,0.58,0.01,9.35,12.76,24.64,7.84,26.66,0.53,7.25,12.87,1.96,9.69,3.53,2.43,1.62,11.84,1.16,2.52,9.27,0.06,14.65,2.77,1.33,14.51,26.57,1.07,12.66,0.05,12.25,2.69,0.14,2.47,6.94,9.41,20.7,31.15,4.13,
