image,golden_value,average_difference,sdc_percentage
20,-2.93503815429,-1223.22903771,37
40,-8.03055564305,450.941852696,30
60,-7.07067885003,-11117.8657566,45
80,-5.82732914277,-2708.59009518,45
,,,39.25
