image,golden_value,error_0,error_1,error_2,error_3,error_4,error_5,error_6,error_7,error_8,error_9,error_10,error_11,error_12,error_13,error_14,error_15,error_16,error_17,error_18,error_19,error_20,error_21,error_22,error_23,error_24,error_25,error_26,error_27,error_28,error_29,error_30,error_31,error_32,error_33,error_34,error_35,error_36,error_37,error_38,error_39,error_40,error_41,error_42,error_43,error_44,error_45,error_46,error_47,error_48,error_49,error_50,error_51,error_52,error_53,error_54,error_55,error_56,error_57,error_58,error_59,error_60,error_61,error_62,error_63,error_64,error_65,error_66,error_67,error_68,error_69,error_70,error_71,error_72,error_73,error_74,error_75,error_76,error_77,error_78,error_79,error_80,error_81,error_82,error_83,error_84,error_85,error_86,error_87,error_88,error_89,error_90,error_91,error_92,error_93,error_94,error_95,error_96,error_97,error_98,error_99
20,-2.93503815429,13144.56,60078982.23,0.58,59084.63,335852.5,375612.72,7352.23,6815919.16,595.7,72344620.5,96393.47,34071.16,5.1,174190.01,209.53,6.4,1309242.33,747.16,2511.67,117341.4,1795.3,13346729150.7,26837.88,2699.87,275813.46,118600.66,33628.26,4.49,14.17,14079.47,130264134.9,0.07,7.78,41.48,1.79,14.15,36590.59,33436.77,19.25,6200.7,3635.38,1947255505.51,6.4,25.84,25003.88,200194.24,0.57,1066278.01,103652.88,1210.34,19.98,75.86,188551.81,1106.08,226.63,253.58,13.94,938734.03,0.14,3010796.5,14686.52,15301875.26,12464.51,2.27,687.67,2854.03,537.13,132.3,83.19,0.0,61.16,20102.4,79.39,42722.62,1635728.57,5.05,57792.13,0.06,30884918.17,6.4,448.91,29873168.31,1.86,0.0,0.44,9723.32,2.66,0.0,0.68,356002.71,9627.81,6951.36,53.85,157.89,196.24,9858640.63,0.25,12.58,3210532791.15,26814.24,
40,-8.03055564305,8824.86,15566.83,1659.85,16488066.48,7543099.51,910757488.4,17356.29,1173651.87,93.82,0.01,0.05,30039492.36,74094.97,203573201.8,3678.42,0.14,120173608.38,607.52,0.02,68.92,11.21,254304.57,920512.46,938819.07,39046.74,62266.42,15.07,955.76,1893300.12,0.44,1940577.19,104.92,13977.07,2907274.27,28.66,14.57,15020125.33,122341.54,16484.27,24.42,19855.47,92334819.23,3756800.53,11.49,0.1,118.57,7457.03,23.67,0.03,230.83,229.2,11.49,146.51,34465.5,8845533.69,321974.83,22.92,60078985.59,16.07,1765.31,278870.14,135192248.52,0.01,11.49,38410044.07,64516.99,334516.68,6770.12,480588.36,0.01,160.42,619611.86,43190096.61,13.62,0.22,8912316.45,28.5,24204.61,419291824.25,166692.35,261306.16,8.78,0.55,10.1,0.01,1.25,38151578298.4,3952.85,15019761.86,3759908.83,1975.54,0.8,11.49,240.68,70754.77,1249.06,6.64,16128845.22,17938655860.1,0.01,
60,-7.07067885003,32071366.39,59.86,160.59,0.01,124.76,508541.65,862.03,15019741.33,4.28,3853.42,0.21,3909877.96,2879966.45,53.49,1167263.77,89218524.23,735.39,5.03,0.24,0.01,273932.61,17.04,0.15,11220.45,16.65,0.11,0.01,6496805.24,271.09,478400.98,3886845.51,19.92,144973.69,0.0,59183.21,490.54,8058.19,2898891.47,12034.48,66050925.47,133797.53,469367.45,146322.63,11080031.43,1208.89,8.39,11.37,0.08,203850.99,10.53,11250.09,952.94,17.58,17715.01,15960399.98,366.38,2484977.62,3754946.86,0.01,10.53,3865609.36,29290.9,282200.1,1305.83,1.27,2.3,120159928.23,938388.41,51.84,231.27,94913.63,7614488.33,938512.16,2155.8,15775.65,19199665.4,41964.14,26.12,10.53,0.01,125054663.52,9.29,6.3,234683.52,211882893.68,1877469.31,3942.43,240722366.38,26659.91,232.18,10.64,0.01,1195383.87,30055177.86,778256071.8,0.01,65.01,89937.29,31.05,1.07,
80,-5.82732914277,30057131.83,126181168.92,38266.07,11358.99,831.22,25697.86,9.29,0.01,880.33,5459243.47,12345.3,3597722.17,219939.17,3.58,7421.55,3926.43,1844.83,47.34,0.01,14768.75,406521.73,796300.72,0.01,672.33,248.74,0.01,5153.7,2530.07,29.73,4.65,9.45,1896.52,4870879.83,101912.91,3859544.86,4643.27,1113820.79,430845703.93,0.01,1080378494.59,323.44,19581.29,94.65,0.01,150.85,0.67,77761532.49,7.92,54063.86,803595.59,30039508.89,0.08,119337.18,30039524.12,8579.68,9.29,1002569.49,40172.2,939233.81,30045418.43,18322385.02,291042.83,119154.66,60322.0,336081165.87,120159210.61,1721.93,0.26,271113.85,7333.86,111585.06,115067.09,6604.95,501113.75,2628289.67,25.29,18734846.6,116.12,324.01,212527.55,51773.28,0.8,29642.83,9.93,9.29,9.29,1877467.65,1896266.93,4.01,60775.64,44355.13,39433929.93,19586.03,618249026.04,0.01,18587.81,14.91,359.81,0.01,0.01,
