image,golden_value,average_difference,sdc_percentage
20,-2.93503815429,-37157468.6553,66
40,-8.03055564305,577212.322392,63
60,-7.07067885003,17396859.158,80
80,-5.82732914277,4985506539.46,75
,,,71
