image,golden_value,average_difference,sdc_percentage
20,-2.93503815429,29712146298,87
40,-8.03055564305,55921117.9655,89
60,-7.07067885003,-24830884.195,94
80,-5.82732914277,937375751.68,89
,,,89.75
