image,golden_value,average_difference,sdc_percentage
20,-2.93503815429,-2022.03482754,5
40,-8.03055564305,-220.281900045,13
60,-7.07067885003,-1161.18146041,4
80,-5.82732914277,-1579.72290579,8
,,,7.5
