image,golden_value,error_0,error_1,error_2,error_3,error_4,error_5,error_6,error_7,error_8,error_9,error_10,error_11,error_12,error_13,error_14,error_15,error_16,error_17,error_18,error_19,error_20,error_21,error_22,error_23,error_24,error_25,error_26,error_27,error_28,error_29,error_30,error_31,error_32,error_33,error_34,error_35,error_36,error_37,error_38,error_39,error_40,error_41,error_42,error_43,error_44,error_45,error_46,error_47,error_48,error_49,error_50,error_51,error_52,error_53,error_54,error_55,error_56,error_57,error_58,error_59,error_60,error_61,error_62,error_63,error_64,error_65,error_66,error_67,error_68,error_69,error_70,error_71,error_72,error_73,error_74,error_75,error_76,error_77,error_78,error_79,error_80,error_81,error_82,error_83,error_84,error_85,error_86,error_87,error_88,error_89,error_90,error_91,error_92,error_93,error_94,error_95,error_96,error_97,error_98,error_99
20,-2.93503815429,0.0,0.0,0.0,7586.6,339.51,127982.78,0.85,87.93,0.0,36.71,0.0,22.93,0.0,0.0,0.0,0.0,0.0,1187029.54,0.0,0.81,0.0,82307.64,1257.77,0.0,0.0,0.0,0.39,0.02,5542.97,0.0,0.92,32184.17,0.18,2019.12,1.34,0.0,0.0,12.72,0.0,0.0,49839.9,0.0,22.59,0.0,7.06,0.0,0.0,0.0,0.0,38.59,0.0,307816.87,0.0,0.0,0.0,0.0,0.0,0.16,0.0,5955.38,68.34,11.9,2.45,722.09,813.5,0.0,0.0,0.02,0.0,0.0,2095.93,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.56,0.47,0.0,0.18,0.0,28.52,33719.64,412574.29,16940.07,0.58,0.0,0.01,0.0,0.41,21834.85,0.0,5.06,0.0,0.0,0.0,56.27,
40,-8.03055564305,11322.65,163.14,375665.4,9883.83,9.41,0.01,0.01,0.01,0.01,0.05,39.78,568752.18,166621.89,0.01,300058.92,2268.3,0.01,0.01,0.01,0.01,2.15,0.01,289.86,0.01,0.01,4670.51,0.01,0.01,0.02,243109.77,516071.9,80987.58,643.27,43.98,20.2,0.01,185680.91,0.01,0.01,0.01,0.01,0.01,0.01,0.01,218905.48,8.38,314.62,263381.34,0.96,646.82,0.01,0.29,1502717.76,0.24,0.08,0.01,0.01,2.77,0.01,0.01,0.31,0.01,0.01,0.01,0.01,0.01,0.11,5.01,0.01,1.61,0.01,0.01,0.08,0.01,0.01,0.01,0.01,0.03,4.26,0.01,173899.91,107.53,0.01,0.01,0.01,0.01,10.77,0.03,0.01,0.01,3575.04,0.01,0.64,0.04,7.88,0.0,103115.77,52.79,0.01,3427.06,
60,-7.07067885003,290478.84,1.71,0.01,0.64,0.01,0.01,0.01,0.01,0.01,0.01,0.01,96403.34,0.01,0.01,0.0,2.72,0.01,12311.09,0.01,0.01,3.71,0.01,10660.0,0.01,359.5,3094993.93,0.0,0.01,0.01,8.68,0.73,0.01,60920.23,0.01,60.64,18270.9,0.01,0.01,151.31,0.01,209056.42,3065.1,0.01,0.07,0.01,6.41,0.01,0.47,0.01,0.01,11.99,266.66,0.01,3.51,0.02,1010.88,1340.71,0.01,0.01,0.01,3.84,0.0,0.01,0.01,3.47,283.61,0.01,0.01,0.01,62.13,0.01,0.04,409963.82,0.01,1657.4,0.01,0.01,0.01,0.01,0.03,27.6,0.01,0.01,935.88,11452.65,7825.15,0.01,0.01,0.01,63883.77,0.01,3.04,894.38,0.01,0.01,0.01,0.01,0.01,0.09,0.01,
80,-5.82732914277,58.98,0.01,175035.52,0.01,0.46,0.01,0.01,0.01,0.01,83.7,0.01,0.01,0.01,0.01,1266.36,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.19,51.41,0.31,0.37,0.01,0.01,505.45,0.01,12401.29,55888.37,0.81,0.01,106.56,0.01,0.01,1027.25,20304.4,702426.35,141944.77,0.01,0.06,264546.06,19.01,266717.61,0.01,6136.5,0.01,0.03,0.01,0.01,154.88,4.11,0.88,0.01,0.01,0.01,0.07,0.01,0.01,0.01,0.01,0.01,32.48,82.8,11.15,0.01,360.41,147970.72,0.01,0.01,6786.84,0.01,0.01,0.01,0.01,0.01,4.69,39.75,0.01,0.01,28736.75,0.01,0.01,7938.18,0.01,0.01,0.01,0.22,0.01,3.84,60.12,2690.59,0.01,19350.57,0.01,0.2,
