image,golden_value,average_difference,sdc_percentage
20,-2.93503815429,2.26316962996,28
40,-8.03055564305,-3.95471921711,26
60,-7.07067885003,-3.86241855756,21
80,-5.82732914277,-3.55173085023,30
,,,26.25
