image,golden_value,average_difference,sdc_percentage
20,-2.93503815429,42497187656.9,90
40,-8.03055564305,-2664469.53711,96
60,-7.07067885003,531200914209,95
80,-5.82732914277,109720101.85,94
,,,93.75
