image,golden_value,error_0,error_1,error_2,error_3,error_4,error_5,error_6,error_7,error_8,error_9,error_10,error_11,error_12,error_13,error_14,error_15,error_16,error_17,error_18,error_19,error_20,error_21,error_22,error_23,error_24,error_25,error_26,error_27,error_28,error_29,error_30,error_31,error_32,error_33,error_34,error_35,error_36,error_37,error_38,error_39,error_40,error_41,error_42,error_43,error_44,error_45,error_46,error_47,error_48,error_49,error_50,error_51,error_52,error_53,error_54,error_55,error_56,error_57,error_58,error_59,error_60,error_61,error_62,error_63,error_64,error_65,error_66,error_67,error_68,error_69,error_70,error_71,error_72,error_73,error_74,error_75,error_76,error_77,error_78,error_79,error_80,error_81,error_82,error_83,error_84,error_85,error_86,error_87,error_88,error_89,error_90,error_91,error_92,error_93,error_94,error_95,error_96,error_97,error_98,error_99
20,-2.93503815429,104.0,107.85,10.58,8.77,39.76,4.62,65.94,66.84,0.0,27.67,32.02,15.77,0.0,85.5,13.33,13.5,0.0,0.05,36.92,14.21,1.73,0.6,6.7,5.31,13.94,0.0,11.99,27.77,114.89,0.02,33.38,7.68,0.0,50.13,0.0,57.28,27.59,6.59,0.0,0.0,29.29,11.16,50.49,0.0,0.85,0.63,5.51,48.58,8.57,2.4,3.9,32.33,82.85,14.53,45.89,8.76,18.95,17.55,0.0,24.62,0.0,0.09,120.35,104.24,114.5,102.37,63.42,13.03,15.14,2.51,4.24,4.22,57.75,40.24,116.94,8.91,3.4,29.28,0.0,69.45,2.25,0.0,9.72,20.07,10.67,0.0,23.85,65.03,2.26,11.01,0.0,0.0,10.24,4.46,0.0,0.0,6.52,29.4,43.21,0.34,
40,-8.03055564305,35.15,0.01,12.65,33.91,30.55,0.04,125.3,0.01,0.13,16.31,0.01,15.86,101.78,0.01,7.04,0.01,7.29,100.91,110.77,7.53,0.01,0.01,85.6,7.03,122.64,8.52,33.56,20.79,5.09,40.13,0.35,0.01,21.56,5.7,0.01,3.44,17.07,52.95,84.15,7.33,3.77,28.83,0.01,106.09,16.55,97.94,121.37,5.72,51.45,0.01,10.3,20.91,73.59,0.01,0.01,14.09,10.86,34.85,6.96,0.86,8.27,0.01,13.9,29.32,101.66,24.9,0.01,5.7,80.5,0.01,112.17,19.18,0.01,0.01,29.61,16.42,8.12,37.76,5.64,73.12,0.01,11.67,1.98,17.14,11.88,5.19,122.91,33.38,0.01,16.1,0.01,0.01,2.67,68.26,1.52,0.01,82.28,32.94,36.18,0.01,
60,-7.07067885003,12.9,32.21,81.08,7.98,5.39,15.48,12.88,8.52,0.95,40.94,0.01,0.01,0.01,4.27,0.01,115.69,10.51,0.01,17.32,48.31,14.83,11.6,0.01,0.16,3.56,28.31,1.37,52.06,19.52,17.29,29.4,26.51,0.03,0.01,29.69,6.79,0.01,75.37,0.15,0.08,0.04,3.4,0.01,9.83,16.03,53.14,1.76,0.01,10.32,33.38,54.38,107.78,0.01,18.98,0.01,0.01,0.01,6.45,28.0,97.78,13.75,81.57,2.97,0.01,24.81,54.66,8.92,3.98,0.01,0.01,0.25,25.16,122.76,18.58,14.24,0.01,0.01,6.32,0.01,10.01,91.85,0.42,7.72,0.01,98.75,20.09,4.64,0.22,81.05,0.04,2.89,35.05,6.29,0.31,0.01,1.18,0.06,5.18,72.11,21.13,
80,-5.82732914277,0.01,20.82,81.12,113.39,5.19,0.93,11.29,14.61,43.26,1.12,13.25,7.7,28.19,39.18,2.38,37.88,0.01,0.0,0.01,26.44,33.53,56.57,12.16,9.7,0.01,0.14,16.01,0.17,9.59,36.72,8.74,11.63,0.01,114.73,0.01,20.6,18.2,5.7,5.03,0.01,20.48,27.69,0.01,0.01,15.84,12.35,35.7,10.48,121.45,48.86,0.01,35.58,0.01,58.6,0.01,39.36,19.76,9.26,0.05,0.01,2.72,0.01,14.96,9.44,13.29,0.01,33.66,50.21,97.66,85.86,0.0,19.69,5.94,43.42,2.04,122.79,63.93,53.05,15.13,10.79,0.01,123.79,4.54,3.57,13.11,0.01,1.18,0.01,10.09,107.88,14.44,78.32,0.01,12.1,44.37,18.9,18.47,0.72,0.21,25.99,
