image,golden_value,average_difference,sdc_percentage
20,-2.93503815429,-1.29244857334,22
40,-8.03055564305,-7.62273169861,18
60,-7.07067885003,-6.2228076761,15
80,-5.82732914277,-6.1227730841,12
,,,16.75
