image,golden_value,error_0,error_1,error_2,error_3,error_4,error_5,error_6,error_7,error_8,error_9,error_10,error_11,error_12,error_13,error_14,error_15,error_16,error_17,error_18,error_19,error_20,error_21,error_22,error_23,error_24,error_25,error_26,error_27,error_28,error_29,error_30,error_31,error_32,error_33,error_34,error_35,error_36,error_37,error_38,error_39,error_40,error_41,error_42,error_43,error_44,error_45,error_46,error_47,error_48,error_49,error_50,error_51,error_52,error_53,error_54,error_55,error_56,error_57,error_58,error_59,error_60,error_61,error_62,error_63,error_64,error_65,error_66,error_67,error_68,error_69,error_70,error_71,error_72,error_73,error_74,error_75,error_76,error_77,error_78,error_79,error_80,error_81,error_82,error_83,error_84,error_85,error_86,error_87,error_88,error_89,error_90,error_91,error_92,error_93,error_94,error_95,error_96,error_97,error_98,error_99
20,-2.93503815429,10.8,0.01,0.02,0.85,180.5,3.21,3.67,0.01,0.0,0.0,19.71,148.54,5.42,0.07,1081.27,0.0,0.0,0.0,137.48,21.59,0.44,0.09,772.43,0.0,0.75,0.0,0.0,1053.23,0.0,0.0,0.0,12532.26,185630.45,0.0,0.0,214.71,0.14,0.0,0.0,0.03,0.01,0.07,70.13,19964.84,0.09,0.0,0.0,7.1,2808.5,0.0,0.15,0.01,0.51,75005.21,21.91,0.65,14.65,0.0,1.04,0.63,0.0,0.01,0.0,3.81,3359.67,0.0,1.92,16.48,0.0,0.0,0.0,17604.99,0.0,2699.87,87.52,0.0,0.0,1.67,0.0,16640.38,0.0,0.0,24790.69,505.39,0.0,0.0,0.31,0.0,0.13,8703.12,4233.07,0.02,2373.72,7544.32,0.08,23184.41,4.07,2.22,17869.32,0.0,
40,-8.03055564305,0.01,0.16,0.01,43.13,2.04,0.01,0.01,5.3,0.01,4.78,0.53,2.11,0.03,3.66,0.01,0.7,0.02,535.05,0.01,0.01,0.18,491.4,4.08,0.01,1468621.56,353.19,5.61,0.01,1955.23,4.46,0.21,0.42,0.01,0.01,0.15,0.01,0.01,0.01,0.01,0.01,391.12,6.51,0.01,0.01,0.33,26.82,0.01,19.13,0.01,0.01,3.28,351353.89,2390962.7,720.69,14.63,6.23,0.48,0.23,0.16,0.02,0.01,0.01,0.01,0.01,0.01,103962.69,17447.28,0.02,0.01,0.01,61228.46,0.01,0.01,0.57,0.15,0.03,10.46,348.63,909.17,0.92,0.04,0.01,56.82,6855.64,3059.79,0.01,4.4,0.01,16.49,2336.27,0.02,577.74,0.02,0.12,1.99,0.01,6.35,286.85,0.02,0.01,
60,-7.07067885003,0.21,0.01,0.01,0.02,0.24,252.84,0.01,156.37,65.24,0.01,34526.47,44165.54,0.05,0.22,104375.74,0.01,26.0,0.01,0.93,0.01,0.01,737.58,0.1,0.01,6.8,692.63,92.24,0.02,0.01,0.01,265.52,0.01,0.19,58.8,0.02,1103.48,29610.59,0.01,0.0,297.38,0.01,0.01,3121.54,799.22,0.01,0.01,0.01,0.01,0.02,0.01,0.01,0.01,0.61,1139.34,0.01,0.01,0.01,5146.12,8.3,0.24,0.01,0.17,0.01,35871.68,1856.17,0.01,2334.56,0.45,0.01,221.2,5.95,0.03,0.01,4.77,12619.11,2249.64,0.01,0.25,13.79,0.01,18.23,0.01,54351.94,0.06,0.77,0.01,20.15,177985.78,0.01,0.52,0.01,0.01,11172.81,0.01,5071.86,631.3,0.01,0.01,0.02,0.03,
80,-5.82732914277,36.72,51.99,1354.1,0.09,0.01,0.0,11.46,0.01,0.02,0.0,7.85,2316.68,0.01,5.25,25.46,1.2,0.06,0.01,4197.22,1.48,33.99,28985.32,13.11,2.19,322015.09,0.01,0.01,1108.74,0.38,0.34,0.03,0.4,0.01,15.91,0.02,0.0,0.2,0.0,44.5,31.37,1911.78,0.04,0.01,0.0,4.38,0.0,0.01,0.01,0.01,0.01,0.01,171.14,140.75,0.0,4.27,29075.09,79.5,7748.23,0.02,0.01,0.01,0.01,0.01,9.29,35272.72,0.0,0.74,71286.71,0.06,0.01,0.01,0.01,1.96,0.24,0.01,2.74,0.01,0.1,13604.98,13374.52,0.01,0.02,0.25,0.01,10339.7,6822.36,0.01,0.01,7.31,374.78,0.0,0.01,4.06,0.01,0.01,12888.54,0.01,0.01,18.08,0.01,
