image,golden_value,error_0,error_1,error_2,error_3,error_4,error_5,error_6,error_7,error_8,error_9,error_10,error_11,error_12,error_13,error_14,error_15,error_16,error_17,error_18,error_19,error_20,error_21,error_22,error_23,error_24,error_25,error_26,error_27,error_28,error_29,error_30,error_31,error_32,error_33,error_34,error_35,error_36,error_37,error_38,error_39,error_40,error_41,error_42,error_43,error_44,error_45,error_46,error_47,error_48,error_49,error_50,error_51,error_52,error_53,error_54,error_55,error_56,error_57,error_58,error_59,error_60,error_61,error_62,error_63,error_64,error_65,error_66,error_67,error_68,error_69,error_70,error_71,error_72,error_73,error_74,error_75,error_76,error_77,error_78,error_79,error_80,error_81,error_82,error_83,error_84,error_85,error_86,error_87,error_88,error_89,error_90,error_91,error_92,error_93,error_94,error_95,error_96,error_97,error_98,error_99
20,-2.93503815429,2.15,62479.57,117341.77,0.0,2203.5,5.33,60387054.48,16.99,29337.86,19.22,28.46,30039490.3,0.0,57.26,0.0,0.05,37469637.92,67495.85,117341.76,0.03,57.3,0.0,16035642.61,1.84,1653635.9,0.0,114.63,7.2,5.2,0.0,7.39,0.0,0.0,0.0,117341.76,0.52,0.14,475590.98,0.0,66900.63,0.07,7332.79,114766.64,232.31,0.0,15019745.47,3.38,9627.6,3.58,4512682.49,0.0,1.13,3754935.96,8017819.84,2464619.39,275.43,0.0,0.11,0.12,0.05,29341.84,1833.47,15484274.58,58.25,5746268.68,3785.52,234682.14,453.46,10.08,8.01,308077.42,3.87,948.2,2205.23,70567.47,7996796.76,3754935.96,30039490.3,0.03,0.0,18051146.99,938734.03,10440.19,60078983.53,633.27,0.48,0.0,30039490.3,392.52,120157955.66,14667.18,15019745.47,0.0,14667.72,0.0,0.45,0.0,0.0,12.79,114.59,
40,-8.03055564305,14786.02,0.01,569.57,11.49,30045766.25,1833.49,31342.59,0.01,8.57,14667.79,7407.34,14.38,30039488.78,62.97,58670.89,938734.08,7585104.48,126.08,7333.87,2004455.05,0.01,7.45,0.01,115.75,4496.09,469366.77,14.38,0.01,40.72,7.15,26.71,916.75,0.01,0.01,7.15,234683.54,0.05,0.01,60538103.84,0.28,0.05,0.01,229.2,918218.83,197.92,8819.25,240371.24,14354051.15,0.09,248757.07,269543.69,9025363.71,0.45,118257.56,3.57,0.01,0.01,7.27,501113.67,4095290.62,0.02,3792781.44,474069.0,10.33,1.8,28.6,0.01,0.28,1413579.9,242.94,0.01,0.09,0.01,23.0,0.01,7509872.44,0.01,0.04,0.01,3.57,17.07,244.7,938734.08,0.21,0.08,9.0,0.06,0.01,1819.83,7028782.11,0.4,3754936.23,0.13,12.09,3.14,7452808.53,234683.54,0.01,0.45,30039488.78,
60,-7.07067885003,29335.47,0.35,117341.78,48.87,19112867.49,3657.73,69.78,120157965.85,0.01,2082094.25,114.64,469366.89,120157965.85,0.97,29335.45,4490908.19,0.01,0.01,57.3,0.03,0.01,10440.18,30884871.06,3804690.52,916.74,272259.42,7509872.5,45.15,0.01,26.4,14.33,39560221.81,5050825.2,0.01,8114632.14,4512911.12,0.01,124.21,4.16,0.01,0.02,15162447.03,1999.15,3754992.7,117400.68,2.24,60321.99,10.53,30.65,29335.45,160.45,0.01,2060282.02,8382.18,0.01,221.34,120157965.85,17627.67,14.33,0.01,0.01,0.01,14957.89,7514288.57,217808.64,1.18,117341.78,18.0,162.92,234683.52,136839073.24,64.5,1.29,1.37,22.2,3666.94,0.01,14.33,242634.01,0.01,0.52,9939859.74,0.01,7.75,0.01,122053267.08,0.01,21.07,1902345.98,20.38,62.69,0.01,1225.51,1930303.41,38507.46,229.48,9.7,62357.2,9025362.88,17.53,
80,-5.82732914277,250557.9,0.22,28.7,254.24,14.31,663364.93,1841.67,0.17,7.16,60078980.63,8017820.53,0.01,0.01,14.33,18186.41,17641.75,0.01,0.01,3736.76,29725.72,8.63,32.91,0.01,120643.98,8.85,938734.04,27.29,18295.6,0.01,458.37,63197.63,120193659.7,0.01,14667.72,8.09,0.01,0.02,246.4,0.16,0.02,0.01,1321327.41,76521.6,0.06,14862.08,68.08,122.96,1.52,1143.02,71.35,3666.94,7.16,1880135.71,7176972.73,938734.04,36476.85,15019744.37,0.01,0.31,3707.71,335.29,0.06,138.87,0.47,58670.93,0.02,5285276.94,9391.34,16425338.76,0.08,212330.31,81.04,40522.74,0.01,4573.87,14667.72,3754936.2,0.01,10570543.58,4824.01,12655.81,0.01,0.23,7509890.77,0.01,0.14,404.88,0.01,14.33,0.01,308077.46,1.05,3666.94,0.06,0.01,24845.92,0.01,458.37,837.23,12784.86,
