image,golden_value,average_difference,sdc_percentage
20,-2.93503815429,10.8157261949,65
40,-8.03055564305,8.32180464335,67
60,-7.07067885003,5.59391221875,68
80,-5.82732914277,8.87376395409,69
,,,67.25
