image,golden_value,average_difference,sdc_percentage
20,-2.93503815429,2.34362372807,25
40,-8.03055564305,0.860795091391,38
60,-7.07067885003,2.33648000333,29
80,-5.82732914277,0.813076664176,23
,,,28.75
