image,golden_value,average_difference,sdc_percentage
20,-2.93503815429,82981943.2025,78
40,-8.03055564305,547043031.323,83
60,-7.07067885003,-8578663.90085,79
80,-5.82732914277,-860079.498714,77
,,,79.25
