image,golden_value,average_difference,sdc_percentage
20,-2.93503815429,28582898.5855,60
40,-8.03055564305,-561556.223996,57
60,-7.07067885003,13558903.472,62
80,-5.82732914277,-164728137.864,59
,,,59.5
