image,golden_value,average_difference,sdc_percentage
20,-2.93503815429,31.5181911261,81.0,
40,-8.03055564305,16.8659790938,71.0,
60,-7.07067885003,19.7232498503,81.0,
80,-5.82732914277,21.7338127067,77.0,
overall average SDC = 77.5
