image,golden_value,average_difference,sdc_percentage
20,-2.93503815429,-2664067.13609,59
40,-8.03055564305,-3816547.35461,65
60,-7.07067885003,-3001335.90364,77
80,-5.82732914277,-1159785.34643,70
,,,67.75
