image,golden_value,average_difference,sdc_percentage
20,-2.93503815429,2096.98920676,12
40,-8.03055564305,4308.41606161,5
60,-7.07067885003,2593.67612448,8
80,-5.82732914277,-3452.52341661,10
,,,8.75
