image,golden_value,error_0,error_1,error_2,error_3,error_4,error_5,error_6,error_7,error_8,error_9,error_10,error_11,error_12,error_13,error_14,error_15,error_16,error_17,error_18,error_19,error_20,error_21,error_22,error_23,error_24,error_25,error_26,error_27,error_28,error_29,error_30,error_31,error_32,error_33,error_34,error_35,error_36,error_37,error_38,error_39,error_40,error_41,error_42,error_43,error_44,error_45,error_46,error_47,error_48,error_49,error_50,error_51,error_52,error_53,error_54,error_55,error_56,error_57,error_58,error_59,error_60,error_61,error_62,error_63,error_64,error_65,error_66,error_67,error_68,error_69,error_70,error_71,error_72,error_73,error_74,error_75,error_76,error_77,error_78,error_79,error_80,error_81,error_82,error_83,error_84,error_85,error_86,error_87,error_88,error_89,error_90,error_91,error_92,error_93,error_94,error_95,error_96,error_97,error_98,error_99
20,-2.93503815429,261891.51,60.92,267.45,965692.81,811.18,0.76,9714.61,30360819.35,391509.39,6.4,57.67,1155293.1,15019774.12,9992.27,0.8,2132514.87,119249.58,0.06,1529408.35,30039490.3,2962499.29,20797.0,7727.6,3074.05,469384.23,2182312.96,968765.63,4028148.2,32029995.81,32.49,0.15,181512.52,1118867.82,13.3,18065303.13,0.29,3916882.48,24942.84,2.97293178377e+12,603159.13,4941156.05,15.27,2157875.69,2394.29,938942.39,30110542.93,1925443.67,12981192.57,5.24,14750.13,0.0,29466.76,2149080.51,35895873.26,2592223.08,15019997.93,28.45,1895983.62,4400.52,117341.26,14251.01,16.71,16035324.4,14.86,5.96,116828.57,0.27,39323.31,11518942.9,2085749947.02,361613463.13,0.0,29263.04,258799.58,247285.36,4509948.9,270713.13,1426.21,4501649.97,42358.8,87050.35,17726587.89,7451160.6,47352.73,9440820.11,7509878.93,834522.18,20.79,1336.01,19934839.35,347.49,32071302.49,17270635.73,133.72,609.71,16716308.02,1.44,2.81,10.32,4569017.27,
40,-8.03055564305,71.45,242237.49,87425.95,30039488.78,1879598.59,25.91,3610.61,16087153.59,1881.63,651791.67,16953060261.9,15217724.15,0.2,109018.63,7509876.02,234683.6,14427613.56,3484689898.52,278981.29,0.0,15180575.0,3965056.87,30040427.0,0.14,7033399.34,2235.51,214.38,6265.45,1021.14,19786632.85,29920.91,23611018.65,58670.51,316688.57,11.49,209055333.6,4059280.62,122.36,0.01,12534.7,4459773.69,0.78,19.99,2714.13,1693109.84,14.34,5345376.15,12423747.39,61351.02,1832.25,2013155.73,4339982.04,513323.99,0.82,2596706.97,14662.39,3546.96,1.17,15054988.02,73191.67,7477.46,59380.63,469367.05,1516.42,89010620.11,5295681.96,2.57,15026180.78,150007.3,3260966.88,14239427.36,5213127.25,0.01,19867588.15,22651369.85,1677378.73,942651.29,47.76,16425338.34,0.08,1109017.58,2.72,3711.95,20699.77,3418.18,9392.03,3796696.75,38045.23,1833.48,631.72,6099.44,2276.9,1942.91,13348853.05,3796954.63,305.84,13588908.04,18908644988.5,924.97,15275428.16,
60,-7.07067885003,166.07,39162.0,29060594.75,470318.02,130688.92,234830.58,307190.22,64.92,0.01,229.57,14674.96,3762613.48,295638207.95,225.1,1129.68,237798.03,241287.5,117903.6,56452.88,0.01,15632.7,147484557.64,524831.21,3316280.93,7510076.62,254213.27,3002.99,306519.25,31783.42,650177.2,3755011.76,335.44,1144491.34,2067347455.24,62970.2,32591.1,176.6,296.04,7876.72,52628.92,74691744.95,119855.1,12047.5,29337.51,24940.45,24.14,2723835.0,496.63,1841.3,8573790.67,4808.92,57.3,467.93,237387.57,741631363.17,237059.98,585450.44,9086.28,1453450.89,2237.37,58740.34,2527.45,276.12,7511358.61,12096.59,1.66,7344.79,260654.36,7586101.85,576.86,322.25,3786717.1,13.66,141135.42,3.61,15146.56,1295445.92,29627.95,1463176294.53,503.94,37.75,34321.68,60321.99,7365.91,9.39,871.09,45120490.73,67366594.13,227266.67,8161488.27,135161.17,1877469.54,32278648.19,509453.11,0.09,666.9,49569.89,2257.25,4801989.63,1176636.0,
80,-5.82732914277,45640875565.0,1522.91,4918.41,32071306.76,8914376.83,2594370995.99,313124695.07,7512618.59,1127788.85,35592165.55,40.28,237732.32,469940.72,1458684765.02,16429554697.1,18292404.09,43.53,308902322.9,48124.21,58485.96,89312.79,39160.08,10.55,15019752.44,0.01,42.01,0.7,15019845.55,0.83,191267085.82,86.43,1105.28,66.58,4516326.85,60078980.63,441287.22,7776787.94,127.1,14.56,0.56,0.85,35.91,37556454.66,1674.3,3808017.17,3676.22,1668581.8,1863253.39,3540.92,15718.33,28889.0,7.4,268.7,577663.55,289.03,7544137.52,20.39,39514587136.7,447.52,10.08,73083.85,4946665.6,1108.44,12680888.59,3792542.82,13.42,118544.89,9130.31,8.79,12566493.07,14690.8,14.74,9.29,4406.92,916.73,4474521.95,0.58,1523.81,9893328.06,118507.97,7583865.0,960403.15,3754945.61,7509871.06,3472020.4,458.37,12877938.62,5.07,3739126.59,120429577.74,28017.59,562142.5,7517050.04,2398.18,3235887774.97,4.59,77739.16,17858.27,260224934.24,237032.86,
