image,golden_value,error_0,error_1,error_2,error_3,error_4,error_5,error_6,error_7,error_8,error_9,error_10,error_11,error_12,error_13,error_14,error_15,error_16,error_17,error_18,error_19,error_20,error_21,error_22,error_23,error_24,error_25,error_26,error_27,error_28,error_29,error_30,error_31,error_32,error_33,error_34,error_35,error_36,error_37,error_38,error_39,error_40,error_41,error_42,error_43,error_44,error_45,error_46,error_47,error_48,error_49,error_50,error_51,error_52,error_53,error_54,error_55,error_56,error_57,error_58,error_59,error_60,error_61,error_62,error_63,error_64,error_65,error_66,error_67,error_68,error_69,error_70,error_71,error_72,error_73,error_74,error_75,error_76,error_77,error_78,error_79,error_80,error_81,error_82,error_83,error_84,error_85,error_86,error_87,error_88,error_89,error_90,error_91,error_92,error_93,error_94,error_95,error_96,error_97,error_98,error_99
20,-2.93503815429,203631.71,108784.77,0.63,0.09,2.45,0.32,170703.69,2357.04,0.0,0.0,299.01,74.59,0.0,0.0,2.66,0.0,0.0,0.0,0.0,88947.43,0.0,0.0,2.48,0.0,13656.1,0.0,348238.18,181.22,0.0,623.65,2108422580.39,0.0,79177.5,0.0,0.0,0.0,0.0,660.17,0.0,25552795.67,0.0,0.0,212.01,0.0,0.0,0.0,0.0,145.32,0.0,0.0,17.94,110922.58,0.0,1.44,42.66,0.0,0.0,0.0,0.0,0.09,4588.18,0.0,0.0,0.47,42.51,0.0,0.0,40068.13,2570.68,0.0,0.0,0.0,38658.11,0.0,0.0,0.0,6.4,0.17,0.0,0.0,14.9,0.0,110922.58,0.79,2.81,0.0,7.19,963.32,385298.39,0.47,0.0,0.07,21.24,0.38,2500.3,639.28,0.0,47.03,0.0,0.0,
40,-8.03055564305,1.96,80.87,0.01,0.01,122.46,111.69,0.01,0.01,0.01,1052.41,0.01,0.01,0.01,1145.65,0.01,16.83,16.3,0.01,0.01,0.11,530773.3,4.32,1.02,135.24,432.06,0.01,0.01,0.01,0.01,0.01,0.01,0.01,118.32,0.01,0.01,0.01,961.6,0.01,0.01,0.01,0.01,123083.52,0.01,0.01,0.0,0.01,244042.45,5.7,186105.52,5.04,139.01,0.01,0.01,3410.73,1.12,0.01,0.01,0.01,0.01,484588.15,1727.95,0.01,0.01,0.01,0.01,0.01,0.01,175.54,9540.02,2.55,10.6,969176.27,0.01,22.02,29.59,1771.48,489.68,2223.61,0.01,0.01,0.01,0.01,4209.61,0.01,6.97,7.46,0.01,0.01,245496.72,0.74,0.01,0.01,0.01,3.71,19660.32,0.01,0.01,30260.36,0.05,2009180.55,
60,-7.07067885003,0.01,10.53,0.01,0.01,1266.22,19639.95,1.71,0.01,0.01,7.01,0.01,1.48,0.01,256.76,0.01,4429.94,948.82,0.01,182512.87,11.4,10129.83,1005.5,0.01,0.01,124.76,0.01,0.01,0.01,8350.56,48127.43,0.01,14.3,68638.78,0.01,4.81,504828.83,0.01,0.01,0.01,0.01,0.01,0.01,0.01,162077.44,0.01,0.01,0.0,0.01,86632.48,1.76,2.59,402.34,133830.75,0.01,2085.87,0.01,0.01,0.01,0.01,28398.12,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,15.72,0.01,0.01,31.43,0.01,0.01,96.32,0.01,0.01,17.76,0.01,0.01,2.15,0.01,9.05,0.01,0.14,19.66,0.42,0.01,10.53,0.01,37805.61,0.27,1135.66,0.29,0.01,1966.76,24244.94,0.01,0.01,24.0,
80,-5.82732914277,2162.88,0.08,0.01,0.01,0.01,0.01,90871.92,0.01,0.01,3.5,33.05,0.01,495.72,0.01,270825.91,6.64,0.01,14913.78,0.01,396.99,6940.72,0.01,7949.44,354.96,0.3,0.01,264.47,914973.53,0.01,0.01,0.01,437.11,0.01,0.01,0.01,0.01,0.01,0.01,447591.04,0.77,0.01,0.01,9.29,0.01,0.01,0.0,9.29,0.02,0.01,0.01,130.37,0.01,68573.73,0.01,5385691.81,0.52,68.44,0.01,0.01,7.93,0.01,0.01,117765.78,2839.74,15.14,0.26,0.01,0.01,0.01,17.56,0.01,514821.87,165730.51,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,2.09,265.15,0.01,0.01,7607.73,224418.25,0.01,2.74,2818.14,0.01,13439.63,0.01,0.01,32.45,0.01,1.03,30.28,0.01,0.01,
