image,golden_value,average_difference,sdc_percentage
20,-2.93503815429,2730024294.18,81
40,-8.03055564305,156437820.172,92
60,-7.07067885003,-2498883.41948,87
80,-5.82732914277,3126441954.28,90
,,,87.5
