image,golden_value,error_0,error_1,error_2,error_3,error_4,error_5,error_6,error_7,error_8,error_9,error_10,error_11,error_12,error_13,error_14,error_15,error_16,error_17,error_18,error_19,error_20,error_21,error_22,error_23,error_24,error_25,error_26,error_27,error_28,error_29,error_30,error_31,error_32,error_33,error_34,error_35,error_36,error_37,error_38,error_39,error_40,error_41,error_42,error_43,error_44,error_45,error_46,error_47,error_48,error_49,error_50,error_51,error_52,error_53,error_54,error_55,error_56,error_57,error_58,error_59,error_60,error_61,error_62,error_63,error_64,error_65,error_66,error_67,error_68,error_69,error_70,error_71,error_72,error_73,error_74,error_75,error_76,error_77,error_78,error_79,error_80,error_81,error_82,error_83,error_84,error_85,error_86,error_87,error_88,error_89,error_90,error_91,error_92,error_93,error_94,error_95,error_96,error_97,error_98,error_99
20,-2.93503815429,104.0,107.85,10.58,0.66,2.55,65.94,60.71,12.22,0.0,3.02,111.29,0.0,0.01,0.66,9.84,0.07,37.76,0.44,0.0,17.57,0.62,1.21,42.31,103.79,114.89,0.02,33.38,7.68,0.0,18.42,0.0,64.68,102.39,11.97,0.0,67.45,23.26,20.75,118.94,103.71,16.91,13.03,0.0,96.17,0.08,28.84,0.94,40.49,91.2,18.69,17.55,0.0,0.67,119.12,2.46,8.19,3.39,0.42,98.15,8.57,18.83,0.0,61.14,47.36,9.96,8.47,12.46,2.36,2.98,25.6,66.68,2.6,2.93,0.06,8.32,0.12,23.85,3.87,0.0,32.79,12.2,43.39,12.85,18.63,0.0,23.89,0.0,0.0,74.92,0.0,10.54,60.39,99.31,13.28,0.48,117.61,15.47,2.71,67.49,6.56,
40,-8.03055564305,0.01,4.75,15.09,72.53,46.6,0.36,21.69,13.24,0.42,44.14,11.4,5.27,20.79,108.66,27.1,3.26,0.01,28.44,55.64,0.01,65.72,3.54,0.17,0.24,13.3,75.35,0.0,33.88,6.04,97.94,121.37,5.72,51.45,0.01,10.3,4.2,75.45,0.05,0.44,9.34,11.07,9.74,0.01,13.9,11.49,101.66,10.29,2.29,8.17,0.02,112.17,19.18,6.26,6.28,26.31,37.76,5.64,96.67,85.43,61.89,25.85,30.46,0.01,72.43,68.68,26.13,32.38,4.0,8.29,0.01,23.66,20.62,0.01,10.93,59.97,82.28,32.94,5.15,0.07,0.96,88.39,8.08,4.64,15.93,13.31,8.9,64.29,86.69,0.01,30.89,33.94,7.71,0.01,115.41,42.08,27.75,49.27,13.35,11.94,55.84,
60,-7.07067885003,106.74,26.25,5.9,2.51,0.01,62.97,9.57,68.55,28.2,0.01,24.53,115.87,4.66,5.64,1.76,73.01,0.52,0.01,92.79,22.96,53.64,38.33,54.38,107.78,19.88,2.82,18.01,19.41,97.09,0.01,20.05,5.79,81.57,72.36,8.62,41.84,1.04,74.7,85.72,72.99,39.64,0.01,121.31,15.7,9.91,6.32,55.05,9.03,0.02,31.64,0.01,0.01,23.05,0.01,17.7,103.64,0.11,4.49,0.1,7.57,83.32,56.52,71.86,37.87,12.76,80.65,10.9,8.33,99.94,83.42,21.52,21.22,9.84,17.61,4.6,56.58,25.52,5.65,36.07,0.42,64.86,0.01,0.01,26.22,33.47,57.81,30.7,9.67,0.01,80.17,39.7,12.63,16.31,0.01,24.41,11.37,16.21,26.38,1.13,9.25,
80,-5.82732914277,28.25,60.41,54.19,12.75,27.69,44.39,35.44,20.81,51.88,121.45,48.86,8.02,0.01,9.78,59.07,100.27,27.19,88.09,17.08,65.81,0.02,1.47,82.28,10.25,83.52,0.73,118.75,5.09,4.38,27.46,0.07,6.71,0.01,18.27,0.48,26.49,12.69,63.99,73.05,115.49,0.0,121.15,0.01,3.57,13.11,16.68,3.07,16.24,18.55,60.0,2.41,102.69,44.37,18.9,18.47,21.01,0.21,25.99,0.75,0.01,5.69,16.14,26.32,12.73,8.48,23.89,0.17,24.97,0.02,0.56,29.45,117.92,14.0,0.01,15.27,17.81,35.98,9.59,0.74,86.97,5.38,19.19,0.01,14.13,6.64,0.01,110.33,21.41,0.01,13.55,24.54,0.01,85.54,0.2,5.2,6.46,49.12,112.99,3.44,91.9,
