image,golden_value,error_0,error_1,error_2,error_3,error_4,error_5,error_6,error_7,error_8,error_9,error_10,error_11,error_12,error_13,error_14,error_15,error_16,error_17,error_18,error_19,error_20,error_21,error_22,error_23,error_24,error_25,error_26,error_27,error_28,error_29,error_30,error_31,error_32,error_33,error_34,error_35,error_36,error_37,error_38,error_39,error_40,error_41,error_42,error_43,error_44,error_45,error_46,error_47,error_48,error_49,error_50,error_51,error_52,error_53,error_54,error_55,error_56,error_57,error_58,error_59,error_60,error_61,error_62,error_63,error_64,error_65,error_66,error_67,error_68,error_69,error_70,error_71,error_72,error_73,error_74,error_75,error_76,error_77,error_78,error_79,error_80,error_81,error_82,error_83,error_84,error_85,error_86,error_87,error_88,error_89,error_90,error_91,error_92,error_93,error_94,error_95,error_96,error_97,error_98,error_99
20,-2.93503815429,469366.89,0.0,31.83,6.4,0.0,5095598.11,5.33,0.0,3.58,14786.06,275.43,0.0,0.0,0.0,0.0,916.73,0.01,254.5,0.0,0.04,469367.0,0.0,0.0,0.05,0.0,0.0,14674.12,5325.76,1653635.9,0.0,0.06,29335.44,0.0,66900.54,0.0,1.25,146365.79,0.0,0.0,0.0,0.0,7479.43,0.0,0.14,117341.76,0.0,0.0,0.0,0.37,0.0,0.08,0.0,229.19,0.0,0.02,3.66,117341.81,0.0,938734.03,0.0,0.0,15663.38,0.0,0.04,0.0,12.79,0.08,0.0,0.0,0.12,7333.86,6343049.43,0.0,0.0,5.22,6.4,234683.66,6.4,0.0,458.44,10.19,978.72,0.0,1833.47,0.07,0.0,0.0,0.02,0.13,292731.49,0.0,1232310.04,0.0,0.0,1.88,0.0,0.0,0.0,0.0,0.1,
40,-8.03055564305,70510.67,0.01,14427613.56,0.05,1.92,0.03,0.01,0.01,0.01,0.01,0.01,57.35,0.01,0.01,0.01,10.33,0.01,0.01,275.45,0.01,0.01,0.01,0.01,3.39,0.53,0.01,0.02,1833.48,14.74,7609382.67,0.01,0.01,3.57,0.01,114.04,0.01,0.01,60078985.59,2.04,56284.48,2.16,0.05,0.03,0.01,0.01,7333.87,115.75,829.12,61.59,0.54,774.39,469367.05,2.54,0.01,3.58,0.01,0.01,0.01,0.28,0.01,0.01,469484.83,0.01,0.01,938738.11,30039488.78,0.01,0.01,0.01,0.01,0.01,469367.05,0.03,0.01,0.01,3804691.35,0.01,0.01,11.49,0.01,3828791.39,0.01,0.01,0.05,61.77,0.01,3666.94,0.01,241460.16,0.01,0.01,0.01,60325.59,0.01,0.44,0.01,0.01,0.05,0.01,0.01,
60,-7.07067885003,0.01,4782774.95,60078979.39,0.15,0.01,0.01,0.01,0.01,9550411.37,0.01,0.01,7812389.74,0.01,3.59,0.01,1089.27,0.01,0.01,0.01,0.03,0.01,126.94,0.02,0.01,1089.27,0.01,1877468.42,3754936.3,0.01,0.01,0.01,0.01,37471919.56,0.01,0.01,0.01,0.58,33734.02,0.01,3.59,0.01,0.01,0.24,5.28,5651212.19,0.01,12.81,120157965.85,0.01,2082094.25,0.89,0.01,3794365.46,3424.36,0.01,29724.16,0.01,0.01,1871.15,792905.79,0.03,0.01,0.01,0.01,9367409.55,3666.94,0.01,30971.47,11.64,0.01,0.01,0.01,120158495.65,0.01,0.01,29335.45,13.41,0.01,0.01,0.01,0.01,0.01,0.01,34.67,0.01,0.01,0.01,3666.94,0.01,0.01,0.01,0.01,4669199.05,0.01,0.01,8.23,0.01,53.96,1930303.41,5.49,
80,-5.82732914277,4008909.59,17627.67,0.01,0.08,14.33,0.01,15165.95,2697.26,0.01,9545998.36,0.01,0.01,35692783.19,0.01,0.01,1.15,0.07,117341.76,0.01,30039490.98,0.14,1.16,6482482.98,9025364.12,0.01,0.01,117341.76,0.01,0.01,28.65,234683.5,0.01,0.01,22.85,1833.47,0.02,0.01,0.01,0.01,0.01,0.01,7.65,1902345.65,20.39,0.01,0.01,469367.02,4246.7,29335.44,7333.86,0.01,0.01,482575.88,0.01,14667.72,58670.88,0.01,0.01,58670.88,0.01,0.01,0.01,0.01,1128170.56,154038.73,0.01,7.16,0.95,0.01,1.8,0.07,0.01,0.01,0.01,0.01,0.01,0.01,234683.5,0.01,17846392.26,3754945.61,0.01,0.01,0.12,0.01,0.01,1101.87,0.01,0.01,0.01,0.01,120157967.09,0.01,0.01,0.07,0.01,0.01,0.01,0.01,234676.41,
