image,golden_value,average_difference,sdc_percentage
20,-2.93503815429,656274.890312,83
40,-8.03055564305,1302581.12367,75
60,-7.07067885003,40168.4634466,86
80,-5.82732914277,-76555.2630558,78
,,,80.5
