image,golden_value,error_0,error_1,error_2,error_3,error_4,error_5,error_6,error_7,error_8,error_9,error_10,error_11,error_12,error_13,error_14,error_15,error_16,error_17,error_18,error_19,error_20,error_21,error_22,error_23,error_24,error_25,error_26,error_27,error_28,error_29,error_30,error_31,error_32,error_33,error_34,error_35,error_36,error_37,error_38,error_39,error_40,error_41,error_42,error_43,error_44,error_45,error_46,error_47,error_48,error_49,error_50,error_51,error_52,error_53,error_54,error_55,error_56,error_57,error_58,error_59,error_60,error_61,error_62,error_63,error_64,error_65,error_66,error_67,error_68,error_69,error_70,error_71,error_72,error_73,error_74,error_75,error_76,error_77,error_78,error_79,error_80,error_81,error_82,error_83,error_84,error_85,error_86,error_87,error_88,error_89,error_90,error_91,error_92,error_93,error_94,error_95,error_96,error_97,error_98,error_99
20,-2.93503815429,0.0,0.01,0.0,0.1,0.0,180.5,3.21,3.67,0.0,8.88,0.29,0.0,0.0,28.96,0.0,0.05,0.0,0.17,222.89,0.0,137.48,0.0,424.22,789.59,0.09,0.0,0.0,560.85,187.77,1975.67,45812.47,0.0,0.0,0.03,0.0,0.0,185630.45,0.0,0.0,214.71,0.01,0.0,0.0,0.0,0.19,0.01,0.07,70.13,19964.84,0.09,0.0,357.45,0.04,301697.53,55623.55,0.0,0.0,0.0,12303.78,50.36,0.33,0.65,14.65,0.0,1.04,0.63,0.0,0.0,0.0,0.0,0.0,12.84,0.0,1.92,16.48,0.0,0.0,0.0,17604.99,0.0,2699.87,87.52,0.0,0.0,0.0,0.0,23056.2,503.82,0.0,0.0,16678.07,0.0,7.1,0.0,0.0,3.88,0.58,172.57,0.0,38.94,
40,-8.03055564305,0.01,1.55,0.18,861.63,0.0,1.54,0.01,37.5,0.01,819.09,9353.3,0.01,4.2,9.08,0.01,0.01,0.01,0.01,0.18,0.2,0.35,0.01,0.01,39.33,0.02,0.02,1341.81,0.01,0.01,0.01,0.3,0.01,0.01,60141.31,21.31,0.02,27.58,65767.67,0.01,0.01,43.16,0.01,0.0,0.01,0.01,0.01,4311.3,0.01,5.17,0.44,0.01,0.01,0.09,0.31,1.79,0.01,222.13,85.77,1.36,0.01,493.56,0.01,0.01,0.03,0.01,53.79,3.28,0.01,0.01,303.85,115017.73,0.0,0.01,1701.14,113103.01,3.57,0.01,0.01,0.01,0.01,0.01,130.72,0.01,0.01,17447.28,0.01,0.01,0.24,0.01,1.53,0.07,0.02,29.44,0.02,3.99,0.01,0.01,6.34,20990.77,42.34,
60,-7.07067885003,0.0,0.02,0.01,9.78,1.49,172.95,0.01,0.01,410.41,0.01,0.01,0.01,0.01,5.74,0.0,0.06,0.01,6.59,305.8,0.01,0.01,0.21,0.01,0.01,339.52,0.02,0.01,255.93,0.25,0.01,230.78,0.01,34526.47,0.01,35608.74,3.32,0.01,0.01,58.8,0.01,0.25,0.01,0.01,0.01,10075.45,0.0,0.01,0.44,0.01,15.7,0.01,0.02,0.01,150.78,0.01,5.21,4.21,2145.3,0.01,814.8,19206.2,0.02,9061.96,0.01,0.01,43.41,76.64,0.02,3121.54,0.01,0.01,0.01,0.06,0.01,3067.73,0.01,254.17,0.01,119.71,0.01,0.03,0.09,6.53,0.01,0.01,0.01,110854.65,0.01,0.01,0.13,0.01,0.01,4.34,0.01,0.01,0.01,5.95,0.03,0.01,4.77,
80,-5.82732914277,0.01,0.01,0.0,13.46,0.01,0.01,0.01,0.01,177.35,1063.72,0.32,0.04,296.45,0.01,17.41,1.44,0.01,4.55,0.01,0.01,0.02,0.05,88441.43,0.01,423.57,43356.68,0.01,0.04,0.01,27515.93,0.0,0.0,5435.24,0.54,0.02,0.01,5.07,17.63,6.64,0.01,0.01,0.01,1543.9,0.07,1.88,0.0,585497.06,0.03,0.01,0.12,0.01,0.01,0.01,10984.51,410.74,14.06,3088.86,0.01,0.01,857.59,1229.22,0.01,103.57,9.79,0.0,82.49,0.01,0.01,0.01,0.01,0.02,0.01,0.01,2.65,0.01,4.18,3447.18,0.02,0.01,0.0,23639.45,154.55,15917.76,0.01,0.01,42617.3,0.01,0.01,0.01,0.02,953.25,11985.82,0.31,0.01,79.5,7748.23,0.02,0.01,0.01,13107.04,
