image,golden_value,average_difference,sdc_percentage
20,-2.93503815429,-1.30480253926,37
40,-8.03055564305,-7.48524285823,36
60,-7.07067885003,-6.39685882326,29
80,-5.82732914277,-7.2600011177,30
,,,33
