image,golden_value,average_difference,sdc_percentage
20,-2.93503815429,6.72896757304,71.0,
40,-8.03055564305,2.8444243611,64.0,
60,-7.07067885003,1.53629031863,63.0,
80,-5.82732914277,5.5828848782,72.0,
overall average SDC = 67.5
