image,golden_value,average_difference,sdc_percentage
20,-2.93503815429,29.0101203569,88
40,-8.03055564305,28.3566691069,87
60,-7.07067885003,30.9617031048,85
80,-5.82732914277,22.9893485538,77
,,,84.25
