image,golden_value,average_difference,sdc_percentage
20,-2.93503815429,-2.98178268831,1.0,
40,-8.03055564305,-8.0200656507,0.0,
60,-7.07067885003,-7.04358658879,0.0,
80,-5.82732914277,-5.85186272976,0.0,
overall average SDC = 0.25
