image,golden_value,average_difference,sdc_percentage
20,-2.93503815429,3.94724001482,48
40,-8.03055564305,-2.71040208545,45
60,-7.07067885003,-0.0682168835926,53
80,-5.82732914277,2.29495284591,41
,,,46.75
