image,golden_value,average_difference,sdc_percentage
20,-2.93503815429,22178392.239,90.0,
40,-8.03055564305,1.93992045461e+13,86.0,
60,-7.07067885003,611294289.414,91.0,
80,-5.82732914277,-49781680.7017,85.0,
overall average SDC = 88.0
