image,golden_value,average_difference,sdc_percentage
20,-2.93503815429,-2.88793899258,0.0,
40,-8.03055564305,-7.95911892504,0.0,
60,-7.07067885003,-7.04362881643,0.0,
80,-5.82732914277,-5.76994669157,0.0,
