image,golden_value,average_difference,sdc_percentage
20,-2.93503815429,-42067.1598325,69
40,-8.03055564305,-241247.067667,67
60,-7.07067885003,-420571.333412,64
80,-5.82732914277,-550658.302118,67
,,,66.75
