image,golden_value,error_0,error_1,error_2,error_3,error_4,error_5,error_6,error_7,error_8,error_9,error_10,error_11,error_12,error_13,error_14,error_15,error_16,error_17,error_18,error_19,error_20,error_21,error_22,error_23,error_24,error_25,error_26,error_27,error_28,error_29,error_30,error_31,error_32,error_33,error_34,error_35,error_36,error_37,error_38,error_39,error_40,error_41,error_42,error_43,error_44,error_45,error_46,error_47,error_48,error_49,error_50,error_51,error_52,error_53,error_54,error_55,error_56,error_57,error_58,error_59,error_60,error_61,error_62,error_63,error_64,error_65,error_66,error_67,error_68,error_69,error_70,error_71,error_72,error_73,error_74,error_75,error_76,error_77,error_78,error_79,error_80,error_81,error_82,error_83,error_84,error_85,error_86,error_87,error_88,error_89,error_90,error_91,error_92,error_93,error_94,error_95,error_96,error_97,error_98,error_99
20,-2.93503815429,20.87,3.39,6.55,0.0,16.8,6.84,23.65,0.0,0.0,0.0,22.71,0.0,14.35,1.65,10.61,0.0,0.0,15.25,23.89,0.0,23.36,28.32,10.06,0.1,0.0,15.26,12.01,0.0,11.31,2.73,15.97,0.0,0.01,0.0,0.0,22.8,0.07,17.61,5.7,12.53,0.0,0.0,1.26,2.52,3.63,0.0,0.0,5.37,0.0,12.44,13.08,0.0,31.94,0.0,0.0,6.4,0.02,26.94,6.47,0.0,0.0,35.77,0.0,14.21,22.12,5.91,0.0,0.0,1.76,13.03,1.18,0.8,0.0,8.99,6.92,0.0,4.87,8.49,0.15,0.0,6.07,0.18,11.17,0.0,0.14,23.39,4.69,0.69,0.22,0.0,3.81,23.8,0.0,33.16,0.0,0.01,8.49,30.94,5.24,0.0,
40,-8.03055564305,11.21,0.01,0.01,0.0,0.01,28.96,16.51,16.69,0.01,29.3,0.0,12.06,31.67,13.31,0.01,14.15,10.84,12.35,1.41,0.01,1.52,0.01,0.01,5.16,0.01,9.47,0.01,2.58,16.17,0.01,4.84,3.54,23.79,0.01,5.73,17.43,0.01,16.36,0.8,8.49,0.01,0.02,0.01,2.52,1.74,9.84,11.79,5.83,1.48,3.02,3.01,0.01,3.7,0.02,2.35,0.01,4.21,4.69,16.27,7.78,37.67,1.43,0.02,3.88,0.01,0.01,6.04,21.82,0.36,0.08,6.05,29.55,15.3,0.01,0.82,0.01,5.8,10.62,30.03,10.26,6.44,8.47,13.57,0.01,0.29,0.01,0.01,4.63,0.01,2.44,15.14,1.58,35.85,3.07,12.92,4.2,7.44,7.61,21.93,0.01,
60,-7.07067885003,0.01,0.19,0.01,6.11,0.01,6.67,15.51,0.01,0.86,0.01,5.4,0.01,0.01,0.01,0.15,0.16,0.01,11.99,4.57,16.82,0.01,3.42,0.01,29.7,4.59,0.31,0.01,0.01,15.99,0.5,12.17,0.01,37.02,0.01,0.02,6.13,0.01,0.01,24.25,11.51,12.71,11.72,4.8,27.67,0.01,0.01,10.51,0.53,8.89,0.01,14.45,8.87,20.69,9.49,16.16,3.9,0.15,0.01,4.51,0.39,3.66,18.22,13.56,3.6,12.15,0.01,7.97,25.59,7.88,26.35,1.94,0.01,15.69,2.01,4.39,0.01,0.01,0.01,8.81,27.81,0.01,1.86,0.05,26.46,7.69,2.57,0.01,0.01,5.78,6.3,5.39,5.08,0.01,8.29,3.28,24.53,0.01,0.01,2.93,13.71,
80,-5.82732914277,8.69,2.09,0.01,0.01,1.39,0.01,12.41,0.21,7.82,12.82,1.2,3.21,0.03,0.01,21.55,16.19,2.69,0.01,0.01,0.01,0.07,12.07,0.01,22.89,0.19,14.11,9.48,29.08,30.86,10.23,0.0,30.4,0.01,7.77,0.33,5.89,0.01,4.68,5.33,7.74,13.54,10.64,2.04,14.25,0.01,0.0,7.31,28.22,3.73,28.12,19.82,0.01,0.01,9.83,9.0,0.01,4.53,6.28,0.01,10.26,3.96,6.83,1.08,16.92,14.54,0.01,20.11,7.27,0.01,23.41,6.35,0.01,0.01,19.16,26.56,0.08,0.01,0.01,0.01,8.2,15.72,16.64,0.01,24.82,10.88,12.11,30.42,5.4,0.01,0.08,0.01,18.74,33.25,35.43,1.4,11.81,6.04,0.83,0.01,7.54,
