image,golden_value,average_difference,sdc_percentage
20,-2.93503815429,-2.81546126836,0.0,
40,-8.03055564305,-7.7950574226,0.0,
60,-7.07067885003,-6.84074960723,0.0,
80,-5.82732914277,-5.63896603216,0.0,
overall average SDC = 0.0
