image,golden_value,error_0,error_1,error_2,error_3,error_4,error_5,error_6,error_7,error_8,error_9,error_10,error_11,error_12,error_13,error_14,error_15,error_16,error_17,error_18,error_19,error_20,error_21,error_22,error_23,error_24,error_25,error_26,error_27,error_28,error_29,error_30,error_31,error_32,error_33,error_34,error_35,error_36,error_37,error_38,error_39,error_40,error_41,error_42,error_43,error_44,error_45,error_46,error_47,error_48,error_49,error_50,error_51,error_52,error_53,error_54,error_55,error_56,error_57,error_58,error_59,error_60,error_61,error_62,error_63,error_64,error_65,error_66,error_67,error_68,error_69,error_70,error_71,error_72,error_73,error_74,error_75,error_76,error_77,error_78,error_79,error_80,error_81,error_82,error_83,error_84,error_85,error_86,error_87,error_88,error_89,error_90,error_91,error_92,error_93,error_94,error_95,error_96,error_97,error_98,error_99
20,-2.93503815429,0.0,13.38,21.77,0.0,3.26,0.01,11.63,11.94,15.09,32.59,13.13,0.0,16.77,0.24,1.76,48.42,9.53,35.39,9.47,36.61,4.02,0.25,0.59,0.13,30.81,1.94,0.0,0.0,28.6,34.37,12.3,47.02,5.99,46.32,25.01,25.44,27.48,10.06,3.61,58.96,15.83,17.37,30.06,0.0,57.73,0.0,0.0,13.15,2.29,15.25,20.2,28.35,10.67,15.38,5.92,35.68,54.87,29.15,1.55,0.0,37.94,47.27,5.79,56.93,0.38,1.47,55.38,24.99,18.59,10.65,13.82,7.47,31.19,26.52,10.28,3.76,0.6,49.69,4.66,25.02,19.91,28.92,14.61,14.09,47.13,26.87,34.5,0.0,35.53,8.67,52.27,14.57,22.05,0.0,15.15,10.4,0.0,32.75,20.78,28.37,
40,-8.03055564305,0.89,0.43,14.46,10.0,0.1,62.25,0.48,26.46,53.6,12.74,15.53,34.91,7.06,0.37,37.13,48.01,4.41,19.94,16.89,20.48,27.48,41.21,31.12,7.09,19.69,30.42,0.01,12.6,10.85,21.34,1.76,26.03,8.29,0.28,19.85,0.1,0.78,0.01,16.0,0.01,28.97,10.17,21.86,35.14,2.62,4.26,11.72,0.01,34.32,0.01,0.01,0.68,58.43,25.74,14.66,0.01,27.87,26.99,4.05,55.84,11.64,23.43,44.89,0.01,58.85,2.56,0.06,47.57,1.48,5.29,27.86,42.11,5.82,30.92,45.81,7.32,63.18,1.27,1.25,23.51,1.27,8.06,26.58,0.01,33.4,12.33,0.02,0.01,0.01,14.89,34.34,47.34,4.07,1.02,24.59,54.23,0.84,46.94,14.3,0.33,
60,-7.07067885003,18.0,17.96,25.54,61.83,16.22,54.58,0.01,23.31,4.23,27.64,16.64,36.63,3.47,3.77,0.59,1.12,47.21,0.01,9.45,0.96,0.01,0.01,3.97,0.0,16.77,4.42,0.01,10.97,35.48,38.28,0.01,6.88,17.56,36.86,5.44,34.48,0.01,2.51,16.52,3.28,19.96,14.33,0.01,56.03,1.14,7.8,15.32,0.01,0.01,28.9,61.23,35.64,36.93,24.98,43.14,1.47,0.01,36.74,6.23,21.25,11.66,0.01,55.7,33.26,15.47,22.14,2.7,0.66,25.3,8.33,4.89,11.21,16.32,2.87,10.28,43.59,11.63,12.35,4.28,0.48,29.69,9.5,42.35,0.01,12.58,0.32,13.94,14.34,6.63,0.01,16.41,41.46,32.62,18.36,20.68,0.01,29.5,0.29,2.7,25.45,
80,-5.82732914277,14.37,55.49,24.65,4.03,0.01,1.88,8.13,3.35,19.5,33.85,36.62,0.01,5.1,8.31,9.42,45.63,1.81,42.59,13.06,5.88,0.01,0.01,0.01,16.42,16.33,0.75,27.63,29.64,58.98,30.29,0.0,8.33,29.08,17.2,47.05,1.12,6.49,4.95,46.26,17.91,21.71,0.68,29.71,48.28,0.13,25.28,30.49,25.03,24.3,50.22,28.55,8.22,13.08,0.01,9.41,57.07,10.24,7.56,48.77,1.42,38.91,24.43,33.06,9.28,0.01,12.78,23.2,5.29,18.97,48.64,0.25,1.61,0.01,4.6,19.55,53.91,48.14,6.39,24.26,30.53,0.44,10.27,18.19,4.94,5.57,0.01,10.41,6.42,0.01,57.73,22.53,25.56,12.39,0.66,34.7,8.99,4.13,27.71,14.67,38.33,
