image,golden_value,error_0,error_1,error_2,error_3,error_4,error_5,error_6,error_7,error_8,error_9,error_10,error_11,error_12,error_13,error_14,error_15,error_16,error_17,error_18,error_19,error_20,error_21,error_22,error_23,error_24,error_25,error_26,error_27,error_28,error_29,error_30,error_31,error_32,error_33,error_34,error_35,error_36,error_37,error_38,error_39,error_40,error_41,error_42,error_43,error_44,error_45,error_46,error_47,error_48,error_49,error_50,error_51,error_52,error_53,error_54,error_55,error_56,error_57,error_58,error_59,error_60,error_61,error_62,error_63,error_64,error_65,error_66,error_67,error_68,error_69,error_70,error_71,error_72,error_73,error_74,error_75,error_76,error_77,error_78,error_79,error_80,error_81,error_82,error_83,error_84,error_85,error_86,error_87,error_88,error_89,error_90,error_91,error_92,error_93,error_94,error_95,error_96,error_97,error_98,error_99
20,-2.93503815429,0.15,0.91,0.08,0.01,0.01,0.01,0.11,0.0,0.0,1.33,0.0,0.0,0.0,0.0,0.06,0.0,0.0,0.56,0.01,0.0,1.0,0.04,0.0,1.25,0.0,0.0,0.0,0.0,0.01,1.25,0.0,0.05,0.0,0.0,0.0,0.01,0.28,0.18,0.0,0.01,0.0,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.16,0.94,0.0,0.0,0.0,0.23,0.0,0.0,0.01,0.0,0.0,0.0,0.07,0.03,0.6,0.0,0.03,0.02,0.0,0.0,0.01,0.0,1.16,0.0,0.71,1.22,0.0,0.04,0.0,1.19,0.04,0.27,0.18,0.06,0.02,0.56,0.02,0.0,0.11,0.04,0.0,0.0,0.06,0.0,0.0,0.0,0.0,0.21,0.0,0.21,0.01,0.25,
40,-8.03055564305,0.02,0.01,0.38,0.01,0.01,0.01,0.01,0.07,0.21,0.01,1.79,0.01,0.03,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.47,0.01,0.01,0.01,1.27,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,1.36,0.01,0.01,0.02,0.01,0.96,0.11,0.01,0.01,0.03,0.01,0.26,0.01,0.38,0.01,0.01,0.02,0.45,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.37,0.02,0.02,0.01,0.01,0.58,0.5,0.01,0.03,0.5,0.01,0.05,0.01,0.06,0.44,0.01,1.32,0.01,0.02,0.3,0.01,0.26,0.01,0.01,0.01,0.49,0.01,1.31,0.01,1.1,0.96,0.01,0.01,0.01,0.01,0.13,0.01,0.01,0.01,
60,-7.07067885003,1.67,0.01,0.24,0.01,0.01,0.01,0.06,0.01,0.01,0.01,0.01,0.12,0.01,0.01,0.01,0.06,0.01,0.01,0.11,0.14,0.01,0.01,0.1,0.01,0.01,0.01,0.05,0.01,0.01,0.01,1.56,0.01,0.05,0.11,1.0,0.05,0.01,0.01,0.02,0.28,0.27,0.01,0.01,0.14,0.46,0.01,0.11,0.44,0.02,0.01,0.02,0.01,0.01,0.14,0.01,1.35,0.05,0.01,0.01,0.72,0.01,0.07,0.51,0.16,0.01,0.01,0.33,0.33,0.05,0.01,0.01,0.08,0.01,0.28,0.01,0.14,0.01,0.6,0.15,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.0,0.39,0.01,0.01,0.16,0.2,0.01,0.38,0.01,0.01,0.06,0.01,0.27,0.02,
80,-5.82732914277,0.01,0.01,0.42,0.14,0.08,0.01,0.01,0.01,0.01,0.01,0.01,1.49,0.25,0.01,0.01,0.19,0.01,1.26,0.01,0.37,0.1,1.65,0.01,0.01,0.01,1.65,0.01,0.32,0.01,0.01,0.03,0.17,0.01,0.01,0.28,0.01,0.01,0.11,0.01,0.09,0.01,0.01,1.73,0.33,0.22,0.01,0.01,0.01,0.0,0.01,1.32,0.01,0.01,0.01,0.01,0.01,0.23,0.01,1.21,0.01,0.05,0.63,0.2,0.01,0.01,1.61,0.01,0.35,0.01,0.17,0.01,0.01,0.01,0.01,0.01,0.29,0.01,0.19,0.34,0.01,0.01,0.01,0.01,0.01,0.42,0.28,0.62,0.01,0.01,0.01,0.02,0.0,0.01,0.09,0.05,0.01,0.23,0.21,0.01,0.01,
