image,golden_value,average_difference,sdc_percentage
20,-2.93503815429,23789854.5705,44
40,-8.03055564305,-3618318.90155,35
60,-7.07067885003,-3906534.23246,55
80,-5.82732914277,21462424.118,40
,,,43.5
