image,golden_value,average_difference,sdc_percentage
20,-2.93503815429,-2.9356823265,0.0,
40,-8.03055564305,-8.04373193174,0.0,
60,-7.07067885003,-7.07968061247,0.0,
80,-5.82732914277,-5.83235573511,0.0,
