image,golden_value,error_0,error_1,error_2,error_3,error_4,error_5,error_6,error_7,error_8,error_9,error_10,error_11,error_12,error_13,error_14,error_15,error_16,error_17,error_18,error_19,error_20,error_21,error_22,error_23,error_24,error_25,error_26,error_27,error_28,error_29,error_30,error_31,error_32,error_33,error_34,error_35,error_36,error_37,error_38,error_39,error_40,error_41,error_42,error_43,error_44,error_45,error_46,error_47,error_48,error_49,error_50,error_51,error_52,error_53,error_54,error_55,error_56,error_57,error_58,error_59,error_60,error_61,error_62,error_63,error_64,error_65,error_66,error_67,error_68,error_69,error_70,error_71,error_72,error_73,error_74,error_75,error_76,error_77,error_78,error_79,error_80,error_81,error_82,error_83,error_84,error_85,error_86,error_87,error_88,error_89,error_90,error_91,error_92,error_93,error_94,error_95,error_96,error_97,error_98,error_99
20,-2.93503815429,10.8,0.01,0.02,0.85,180.5,3.21,3.67,64.52,0.05,95.77,148.54,5.42,0.0,3843.75,10044.93,11.97,0.09,0.01,104.05,904.77,0.13,0.63,10837.51,0.06,0.0,3011.0,1.02,96.79,80991.44,0.62,0.0,0.0,214.71,0.01,0.0,1.29,0.0,532.6,24772.26,70.13,19964.84,0.09,0.0,0.0,7.1,2808.5,0.54,565.93,0.0,32225.31,0.54,0.65,16.01,39.92,0.0,0.63,0.0,0.01,2.84,0.0,0.0,0.0,1.92,16.48,0.0,51.42,36.78,7526.27,281.58,81.74,0.0,0.0,1.67,0.0,16640.38,0.0,0.0,16678.07,2.23,2.31,55925.47,0.0,19.61,0.0,614.05,0.0,6.92,0.01,0.0,1.99,0.0,479.03,0.21,1218.14,0.01,0.0,0.0,0.0,0.02,0.05,
40,-8.03055564305,0.2,0.35,0.53,2.11,0.03,0.02,159.78,16.17,0.02,535.05,0.01,8.14,0.01,6413.75,0.21,65767.67,2.68,0.31,0.01,0.0,15.77,435.62,0.01,0.01,68.21,4.12,0.4,987.94,1342.16,0.01,391.12,6.51,0.01,162438.92,455.71,7160.37,1.42,0.01,3609.39,0.01,0.01,1.37,2803.44,13.62,0.44,0.31,0.01,0.91,0.05,1.33,0.01,0.02,0.03,3.64,30780.15,0.01,145.7,0.24,0.48,0.01,0.01,0.01,0.15,0.03,10.46,348.63,909.17,0.92,0.04,0.01,15431.12,0.01,2.65,82.88,0.01,0.01,5.18,0.32,0.01,0.01,0.06,1.61,4.48,6.26,0.16,0.01,0.39,17582.83,31.65,0.02,3103.45,0.35,0.01,0.01,132.58,0.08,3170.9,0.08,0.01,24.33,
60,-7.07067885003,1.0,0.0,35.69,22223.29,0.01,737.58,0.1,47.89,45762.29,706.2,0.04,0.01,150.78,1431.0,0.04,0.19,58.8,0.02,1103.48,29610.59,0.01,0.01,0.01,13019.5,0.01,0.18,0.01,75.94,97.11,0.01,0.01,0.02,0.01,0.01,0.01,3951.01,40022.79,358.28,0.01,5146.12,93.05,0.01,110854.65,0.03,2928.95,85075.26,16.6,4.75,0.35,0.03,5.95,0.03,0.01,8.15,5088.39,6753.56,100.24,3684.52,0.14,18.25,0.01,68743.63,1.6,276.65,0.01,20.15,130608.42,0.01,8068.72,0.0,0.01,90522.51,631.3,0.01,0.02,12.21,1684.57,35.39,51.45,18.21,0.01,3492.76,0.01,0.01,0.0,0.01,0.0,0.01,197255.64,0.14,8.55,584435.06,16.09,0.03,0.02,0.01,5.34,568.37,0.01,0.01,
80,-5.82732914277,9854.23,1380.37,1229.87,0.01,0.0,1.75,11.98,0.03,0.4,0.01,0.01,0.14,4.12,1295.24,346.92,3.83,304.96,1911.78,0.04,0.01,0.0,4.38,0.0,141.7,0.0,2.47,0.0,0.35,2582.61,0.0,349.19,0.08,0.01,14.02,16.15,280155.46,0.36,383.65,184388.3,172.39,0.01,0.0,0.22,0.01,221.45,9148.31,0.0,0.0,0.24,0.42,188.36,4.68,13604.98,0.01,13.71,0.27,44.8,20121.36,10339.73,6822.36,0.01,120.79,0.47,0.0,7642.62,0.01,0.01,0.01,12888.54,6.52,829.71,14.23,0.0,254.51,13935.34,0.02,100.07,246.68,0.03,0.01,0.0,0.2,0.01,19.06,12.85,146988.55,527.39,9.17,0.06,419.1,323002.31,59.95,0.02,321.71,18205.25,5.33,42.89,0.01,0.71,0.01,
