image,golden_value,average_difference,sdc_percentage
20,-2.93503815429,56551598.6748,78
40,-8.03055564305,-961541.055943,70
60,-7.07067885003,2043464.94436,75
80,-5.82732914277,-50786371.4361,72
,,,73.75
