image,golden_value,average_difference,sdc_percentage
20,-2.93503815429,1109711922300,96
40,-8.03055564305,2197697262100,99
60,-7.07067885003,-3118667993050,95
80,-5.82732914277,-362159602.209,96
,,,96.5
