image,golden_value,average_difference,sdc_percentage
20,-2.93503815429,-2040.89137944,17
40,-8.03055564305,-20985.5079812,19
60,-7.07067885003,-2953028.35877,19
80,-5.82732914277,-6423.62976156,22
,,,19.25
