image,golden_value,error_0,error_1,error_2,error_3,error_4,error_5,error_6,error_7,error_8,error_9,error_10,error_11,error_12,error_13,error_14,error_15,error_16,error_17,error_18,error_19,error_20,error_21,error_22,error_23,error_24,error_25,error_26,error_27,error_28,error_29,error_30,error_31,error_32,error_33,error_34,error_35,error_36,error_37,error_38,error_39,error_40,error_41,error_42,error_43,error_44,error_45,error_46,error_47,error_48,error_49,error_50,error_51,error_52,error_53,error_54,error_55,error_56,error_57,error_58,error_59,error_60,error_61,error_62,error_63,error_64,error_65,error_66,error_67,error_68,error_69,error_70,error_71,error_72,error_73,error_74,error_75,error_76,error_77,error_78,error_79,error_80,error_81,error_82,error_83,error_84,error_85,error_86,error_87,error_88,error_89,error_90,error_91,error_92,error_93,error_94,error_95,error_96,error_97,error_98,error_99
20,-2.93503815429,0.0,0.06,0.0,0.1,0.0,180.5,3.21,3.67,0.0,0.0,0.0,221.81,13.57,0.86,14.87,0.07,0.0,0.0,0.17,10044.92,0.0,14220.55,7.78,0.0,0.0,118426.94,2.29,0.0,0.0,1444.32,10837.5,47181.89,8.62,3864.44,0.0,0.0,0.03,0.0,663.13,185630.45,0.0,0.0,323.52,3015.35,0.01,0.0,0.01,0.0,0.0,0.59,0.0,0.0,0.0,0.0,0.0,9515.56,0.0,0.12,18.28,0.65,0.0,0.0,0.0,3.13,0.0,0.0,1.78,14.65,95.71,0.0,0.0,0.63,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.92,16.48,0.0,0.0,0.0,17604.99,0.0,2699.87,0.0,0.0,0.0,0.0,0.0,0.0,0.08,42079.67,0.01,0.0,0.44,0.0,0.51,
40,-8.03055564305,0.01,0.01,0.01,0.26,0.11,1.15,176.83,8666.64,122.47,0.64,0.01,53.24,0.26,85973.13,0.99,0.02,0.01,0.01,0.07,0.11,819.09,0.01,0.01,0.01,0.01,2.04,0.01,0.01,0.01,0.01,1.4,0.14,0.01,0.12,0.01,620.24,0.03,16.23,1014.99,0.01,0.01,726.95,0.01,4.46,0.01,3629.01,0.01,0.01,0.01,0.01,0.01,0.01,5.61,0.01,2.58,1539.51,0.01,0.01,4311.3,0.01,5.17,0.44,0.01,0.01,0.01,0.01,0.01,391.12,0.01,5.72,0.01,0.01,2.18,0.01,0.01,0.01,0.01,0.01,0.01,0.01,1115.05,2163.11,0.01,115017.73,0.01,0.01,0.01,0.01,0.01,0.91,0.05,1.33,0.01,0.01,0.01,1.14,0.01,0.01,0.03,0.01,
60,-7.07067885003,25.84,0.02,0.0,51455.17,0.01,0.01,0.01,0.01,0.01,1119.8,0.01,0.01,0.01,0.01,0.01,21009.62,1.3,436.88,0.01,0.01,0.01,2.72,1.04,140.14,2.37,0.01,9987.28,0.01,0.01,0.01,0.01,0.01,0.67,0.01,0.06,541.95,0.01,79.01,30.33,0.01,1.04,0.01,0.01,0.01,0.02,0.01,54.62,0.01,0.01,0.01,0.93,0.01,0.01,0.01,0.05,3176.55,0.01,0.22,0.01,0.01,58.8,0.01,0.25,0.01,0.01,0.01,30376.89,10.06,0.01,0.01,6.75,60.91,0.03,0.01,0.01,0.16,5.53,0.01,1055.49,0.81,0.01,0.01,0.03,20.08,0.17,87378.17,0.01,36.01,53.22,0.01,0.02,3121.54,0.01,0.01,0.01,0.01,0.06,0.01,681.26,0.01,
80,-5.82732914277,0.01,0.01,0.0,0.01,0.01,2.66,0.01,0.01,433.12,0.55,0.01,110865.91,0.01,0.01,0.01,777.27,0.01,0.01,0.03,0.01,1.48,0.01,0.01,2805.06,0.01,0.01,0.85,0.01,0.01,0.0,0.01,0.02,2492.54,0.01,0.01,177.35,0.01,0.01,1.21,0.02,565.18,0.01,0.01,0.01,173.29,5.57,0.01,0.01,0.19,27.22,0.4,0.0,0.01,0.01,0.0,0.01,0.01,0.01,0.01,0.01,5435.24,0.54,0.01,0.01,0.01,5.07,17.63,3.96,0.01,0.01,0.01,0.01,2316.68,0.05,0.01,0.01,0.01,0.57,0.01,0.01,0.03,4197.27,0.01,0.6,0.03,0.01,0.01,2695.59,0.01,570.25,0.01,5206107.6,0.0,0.01,0.01,0.22,0.01,0.0,0.01,4.65,
