image,golden_value,error_0,error_1,error_2,error_3,error_4,error_5,error_6,error_7,error_8,error_9,error_10,error_11,error_12,error_13,error_14,error_15,error_16,error_17,error_18,error_19,error_20,error_21,error_22,error_23,error_24,error_25,error_26,error_27,error_28,error_29,error_30,error_31,error_32,error_33,error_34,error_35,error_36,error_37,error_38,error_39,error_40,error_41,error_42,error_43,error_44,error_45,error_46,error_47,error_48,error_49,error_50,error_51,error_52,error_53,error_54,error_55,error_56,error_57,error_58,error_59,error_60,error_61,error_62,error_63,error_64,error_65,error_66,error_67,error_68,error_69,error_70,error_71,error_72,error_73,error_74,error_75,error_76,error_77,error_78,error_79,error_80,error_81,error_82,error_83,error_84,error_85,error_86,error_87,error_88,error_89,error_90,error_91,error_92,error_93,error_94,error_95,error_96,error_97,error_98,error_99
20,-2.93503815429,3.41,4.1,0.0,3.34,18.83,0.15,0.0,0.0,9.61,0.0,0.0,0.0,0.07,0.0,0.0,6.14,13.03,2.43,12.42,23.89,0.0,23.36,28.32,10.06,0.1,0.0,15.26,0.0,8.8,4.61,41.55,0.0,3.79,0.0,0.34,6.59,22.8,0.07,0.0,0.0,0.02,0.0,0.0,8.84,0.42,24.49,10.3,0.0,0.05,0.0,10.9,2.29,0.0,7.49,1.32,0.0,7.95,1.43,0.0,1.93,0.0,0.0,0.0,0.0,0.0,0.0,3.74,0.0,0.0,0.0,0.0,17.3,13.03,0.0,12.66,0.0,8.23,12.98,0.0,15.87,5.04,0.0,0.0,0.0,8.6,11.6,26.66,5.67,13.78,1.98,0.0,0.03,4.63,35.56,4.56,9.22,0.0,12.94,12.41,8.49,
40,-8.03055564305,0.01,52.3,0.01,7.73,29.66,4.45,17.11,0.01,0.01,0.01,0.01,0.01,0.01,0.01,36.45,0.01,0.01,0.01,0.24,0.01,9.74,0.07,0.01,0.67,15.23,2.79,24.98,1.31,8.45,4.77,0.01,0.01,16.14,0.01,0.01,7.79,0.01,0.01,6.94,7.65,21.45,1.73,0.01,15.71,13.87,0.01,2.29,0.01,0.01,0.57,1.74,9.84,21.72,0.01,0.01,7.18,0.01,1.3,0.01,0.01,0.02,2.35,0.01,0.01,10.75,1.09,0.01,0.01,27.71,0.01,14.35,0.01,0.01,0.01,0.01,0.01,11.09,0.75,0.01,16.55,24.2,26.87,0.01,8.67,26.23,11.77,0.01,0.01,30.94,0.01,6.44,23.86,17.18,7.21,0.01,6.06,0.01,0.01,0.01,12.54,
60,-7.07067885003,6.78,0.64,0.01,1.43,0.01,0.01,0.01,8.72,0.01,0.01,12.35,6.14,9.17,0.01,0.01,9.82,0.01,0.72,0.01,0.01,0.01,0.01,12.34,0.28,32.16,0.01,0.01,0.01,0.01,1.56,0.01,0.01,0.01,7.34,5.04,0.01,1.51,0.01,0.05,0.01,14.32,0.01,17.37,0.01,0.01,0.01,0.01,0.0,0.01,0.01,12.42,0.01,0.01,0.01,0.0,6.74,0.01,0.01,0.01,20.27,0.01,3.73,17.52,0.01,0.4,8.49,0.01,0.72,20.72,1.25,3.9,19.46,0.01,4.51,0.39,3.66,18.22,13.56,3.6,12.15,0.01,7.97,25.59,8.5,3.36,5.71,0.01,1.6,10.83,4.14,0.01,8.74,0.01,21.44,0.01,0.01,0.01,4.09,0.01,0.01,
80,-5.82732914277,6.95,11.08,15.81,0.01,1.61,6.26,0.01,0.01,24.57,0.01,0.14,0.01,3.96,0.01,0.01,1.83,0.01,5.41,8.79,11.89,0.01,6.29,0.01,26.08,0.56,24.0,0.01,5.24,13.54,0.08,0.01,0.01,0.1,0.01,0.72,7.29,0.01,0.01,1.07,22.49,0.0,8.74,4.35,0.01,14.37,0.01,0.01,2.31,6.42,3.8,0.01,0.01,7.73,0.01,7.07,0.01,4.76,0.01,25.39,0.25,0.01,0.01,0.0,10.96,0.01,0.01,0.0,0.55,0.01,0.13,0.01,0.01,0.01,0.01,0.11,4.6,9.66,0.01,0.01,0.01,0.01,3.96,0.01,0.01,0.02,6.7,20.92,0.01,0.01,0.01,6.98,22.26,3.82,11.68,0.01,21.95,0.01,0.01,9.15,1.82,
