image,golden_value,error_0,error_1,error_2,error_3,error_4,error_5,error_6,error_7,error_8,error_9,error_10,error_11,error_12,error_13,error_14,error_15,error_16,error_17,error_18,error_19,error_20,error_21,error_22,error_23,error_24,error_25,error_26,error_27,error_28,error_29,error_30,error_31,error_32,error_33,error_34,error_35,error_36,error_37,error_38,error_39,error_40,error_41,error_42,error_43,error_44,error_45,error_46,error_47,error_48,error_49,error_50,error_51,error_52,error_53,error_54,error_55,error_56,error_57,error_58,error_59,error_60,error_61,error_62,error_63,error_64,error_65,error_66,error_67,error_68,error_69,error_70,error_71,error_72,error_73,error_74,error_75,error_76,error_77,error_78,error_79,error_80,error_81,error_82,error_83,error_84,error_85,error_86,error_87,error_88,error_89,error_90,error_91,error_92,error_93,error_94,error_95,error_96,error_97,error_98,error_99
20,-2.93503815429,0.0,0.0,0.22,0.0,3666.93,29335.44,118277.84,0.02,0.16,0.0,17.02,0.0,0.0,0.0,0.0,0.0,0.0,916.73,0.01,254.5,0.0,938734.14,0.0,0.0,0.0,6.4,0.0,0.0,0.0,3435079.81,14.32,0.0,0.23,0.0,0.0,29335.44,0.0,0.0,26541.28,0.0,0.0,0.06,0.0,0.0,0.0,7479.43,0.0,0.14,117341.76,0.0,0.0,0.0,0.0,0.0,0.0,114766.64,0.0,0.0,0.0,0.02,3.62,30.59,0.0,0.11,0.0,0.0,0.0,1026585.35,0.04,0.0,0.0,16168208.93,0.0,0.0,0.0,0.0,0.08,0.0,0.0,0.0,0.0,0.0,0.0,234683.66,0.0,0.0,117341.76,0.0,0.0,0.0,0.0,0.0,0.08,0.0,0.0,0.0,0.02,0.13,0.0,0.0,
40,-8.03055564305,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,27145.49,0.01,0.01,0.01,14427613.56,0.05,242.1,124.71,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.02,0.91,0.01,0.01,0.01,0.01,0.01,0.01,9025363.71,0.01,0.01,0.01,0.01,0.01,0.06,0.01,0.01,0.01,0.01,30039488.78,938734.08,0.02,255683.81,0.01,2.04,0.01,1877468.13,0.01,0.01,0.01,0.01,0.01,0.01,0.01,829.12,3715.53,15.31,0.01,774.39,0.49,0.01,0.01,28.66,7333.87,0.01,0.01,0.01,0.01,234683.54,469367.05,0.01,0.01,0.01,0.01,1801101.02,0.01,0.01,0.01,0.02,0.01,15023514.73,61.18,0.07,0.05,0.01,0.01,0.01,0.01,0.05,0.01,0.01,0.01,1.8,0.91,
60,-7.07067885003,4702.46,0.12,0.01,101.56,0.01,5654865.24,0.28,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.04,0.01,0.01,0.01,40.77,9746.97,0.01,0.01,0.01,0.01,0.01,0.01,464.45,0.01,0.01,0.01,0.21,15019744.92,469367.01,0.01,0.01,0.03,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,5.09,0.01,0.15,0.02,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,242634.01,0.01,0.01,1007.62,0.01,0.01,0.01,56.38,30161.0,10.53,0.01,0.01,15080.51,0.01,7.43,0.01,0.01,0.01,0.01,0.06,0.01,29724.16,0.01,0.01,4406.93,30039489.74,57.16,0.01,0.01,0.01,0.01,2.06,0.01,58670.89,0.01,0.01,0.01,0.01,0.01,942.54,0.01,0.01,0.01,
80,-5.82732914277,0.01,4.46,0.01,505248.33,0.01,0.01,0.01,10.53,0.01,0.01,0.01,0.02,0.01,0.01,18.58,0.01,0.01,9.29,0.01,1692719.77,0.01,0.01,0.01,0.01,0.01,0.01,2060282.14,8648.91,0.01,0.01,0.01,0.01,0.01,29335.44,0.01,116.12,0.01,0.01,0.01,0.01,0.01,0.01,1.15,0.01,0.08,17.22,0.01,0.01,0.01,30884832.91,19716958.92,0.01,0.01,0.01,0.01,11.16,0.01,0.07,0.01,0.01,0.01,0.01,0.08,0.17,0.01,0.01,0.01,0.01,120157967.09,0.01,18.58,1902345.65,0.01,0.01,0.01,0.01,0.07,0.01,0.01,0.01,0.01,478.48,0.01,482575.88,0.01,14677.01,0.01,0.01,0.01,0.01,0.01,0.01,458.37,0.01,0.01,0.01,0.01,0.01,7.16,0.01,
