image,golden_value,average_difference,sdc_percentage
20,-2.93503815429,1.75515463096,0.0,
40,-8.03055564305,2.00991686957,48.0,
60,-7.07067885003,2.11276073331,54.0,
80,-5.82732914277,1.84792043106,0.0,
